location,current_text_summary,claim_id,evidence_status,action,reason,replacement_direction
"repository manuscript inventory","NO_INTEGRATED_MANUSCRIPT_SOURCE: the repository contains stage-specific Markdown/TeX fragments and integration guides but no single current main manuscript source.","","PARTIAL","REWRITE","A literal line-by-line audit of one authoritative manuscript is impossible; treating any fragment as the complete paper would be misleading.","During the separately authorized rewrite phase create one integrated manuscript and preserve this claim-level audit as its gate."
"README.md:5-18","Frames the project around whether one model can be trusted across shortcut dataset prevalence hardware and unseen-family changes; says benchmark metrics are insufficient deployment evidence.","CLM29-001","PRIMARY","KEEP","This is the correct validation-framework framing and avoids a proposed-model story.","Retain as repository framing and adapt cautiously for the later introduction."
"README.md:41-56","Summarizes benchmark limits and keeps architecture/deployment/family audits separate.","CLM29-001;CLM29-014;CLM29-015","MIXED","KEEP","The summaries respect evidence ceilings and visible limitations.","Map each sentence to its axis-specific result during rewrite."
"docs/JOURNAL_EXTENSION_SUMMARY.md:3","Describes Stages8-12 as strengthening a journal extension.","CLM29-002;CLM29-003","HISTORICAL_CONTEXT","MOVE_TO_SUPPLEMENT","This chronological extension framing is no longer the organizing logic for the final paper.","Retain as research history; integrate uncertainty and calibration into the benchmark-reference subsection."
"docs/JOURNAL_EXTENSION_SUMMARY.md:7-13","Reports unresolved balanced and calibration learner comparisons.","CLM29-002;CLM29-003","NEGATIVE_RESULT","KEEP","The negative findings are frozen and appropriately bounded.","Keep concise in benchmark results or supplement; do not omit because they are negative."
"docs/JOURNAL_EXTENSION_SUMMARY.md:17","States a LightGBM cost break-even and uses high-FPR thresholds to support the 5% reference constraint.","CLM29-013","CONDITIONAL","MOVE_TO_SUPPLEMENT","The early relative-cost analysis is conditional and is superseded in scope by Stage25.","Use Stage25 operational architecture in the main text and retain this historical break-even in supplement."
"docs/JOURNAL_EXTENSION_SUMMARY.md:29","Says all analyses are single-dataset and cross-dataset generalization remains future work.","CLM29-011","NEGATIVE_RESULT","REWRITE","This is directly superseded by the frozen Stage24 bidirectional audit.","State that the earlier gap was later addressed by a direction-specific bridge audit with remaining external-validity limits."
"docs/STAGE13_MANUSCRIPT_PARAGRAPH.txt:1","States stable LIME rankings often lacked fidelity and keeps TreeSHAP primary.","CLM29-004","NEGATIVE_RESULT","KEEP","The paragraph gives exact panel counts and does not treat stability as validity.","Retain with panel-selection and study-specific-criterion qualifiers."
"docs/STAGE18_MANUSCRIPT_INTEGRATION.md:11-20","Introduces a representation-first assessment rather than assuming architecture applicability.","CLM29-005;CLM29-006;CLM29-007","MIXED","MOVE_TO_METHODS","This is a method/governance contribution rather than a standalone performance claim.","Condense into representation-validity and anti-adaptation methods."
"docs/STAGE18_MANUSCRIPT_INTEGRATION.md:49","Says temporal modeling was supported with constraints and no temporal model was fitted.","CLM29-005","PARTIAL","KEEP","The wording accurately separates feasibility from predictive evidence.","Retain in limitations or historical methods chronology."
"docs/STAGE18_MANUSCRIPT_INTEGRATION.md:51","Says no audited candidate supported a direct ViT representation and no ViT performance experiment occurred.","CLM29-007","NEGATIVE_RESULT","KEEP","This blocks the false claim that ViT performed poorly in Stage18.","Keep as a concise representation-validity boundary; place Stage21 descriptive comparison separately."
"docs/STAGE18_MANUSCRIPT_INTEGRATION.md:57-59","Reports strong graph ranking but zero true positives at the frozen graph threshold.","CLM29-006","CONDITIONAL","MOVE_TO_SUPPLEMENT","The source-restricted graph result is informative but peripheral to the final tabular validation chain.","Use as a compact ranking-versus-threshold counterexample in supplement and discussion."
"docs/STAGE18_MANUSCRIPT_INTEGRATION.md:74-82","Uses the three architecture outcomes to distinguish representation ranking and threshold validity.","CLM29-005;CLM29-006;CLM29-007","MIXED","MOVE_TO_DISCUSSION","The synthesis is valuable but should not displace the central Stage22-28 evidence.","Condense to one discussion paragraph about architecture applicability and metric separation."
