limitation_id,main_text_group,explicit_in_main_text,supplement_location,claim_ceiling_preserved,notes
"LIM29-001","A. Dataset and benchmark scope","YES","Supplement S7; Stage29 limitations matrix","YES","Two related benchmark families do not support arbitrary operational-network claims."
"LIM29-002","A. Dataset and benchmark scope","YES","Supplement S1; Stage29 limitations matrix","YES","Processed rebalanced reference metrics are not natural-prevalence, temporal, session, or deployment evidence."
"LIM29-003","B. Temporal and family-composition confounding","YES","Supplement S6; Stage29 limitations matrix","YES","Mixed controls prevent sole chronology or concept-drift attribution."
"LIM29-004","C. Cross-dataset and family-support constraints","YES","Supplement S3; Stage29 limitations matrix","YES","Transfer remains bridge-, preprocessing-, learner-, direction-, and target-specific."
"LIM29-005","C. Cross-dataset and family-support constraints","YES","Supplement S3; Stage29 limitations matrix","YES","Cancelled GROUNDED_S4 cells prevent a completed-all-sensitivities claim."
"LIM29-006","C. Cross-dataset and family-support constraints","YES","Supplement S6; Stage29 limitations matrix","YES","Structurally ineligible families prevent uniform taxonomy coverage."
"LIM29-007","C. Cross-dataset and family-support constraints","YES","Supplement S6; Stage29 limitations matrix","YES","Infiltration remains descriptive at support 36 and cannot carry pooled inference."
"LIM29-008","D. Statistical and realization uncertainty","YES","Supplement S1/S3/S6; Stage29 limitations matrix","YES","Intervals remain conditional on frozen targets, fitted models or arrays, and implementations."
"LIM29-009","D. Statistical and realization uncertainty","YES","Supplement S6; Stage29 limitations matrix","YES","Five seeds and 5/5 ordering do not provide a significance test or population guarantee."
"LIM29-010","F. Historical reproducibility","YES","Supplement S7; Stage29 limitations matrix","YES","VERSION_NOT_PROVEN environments prevent bit-for-bit reconstruction."
"LIM29-011","E. Operational and hardware assumptions","YES","Supplement S5; Stage29 limitations matrix","YES","One component boundary and environment do not support universal or end-to-end timing claims."
"LIM29-012","E. Operational and hardware assumptions","YES","Supplement S4; Stage29 limitations matrix","YES","Fixed-rate prior shift is not measured performance under other simultaneous shifts."
"LIM29-013","E. Operational and hardware assumptions","YES","Supplement S4; Stage29 limitations matrix","YES","Scenario assumptions do not support universal workload, utility, or economic recommendations."
"LIM29-014","F. Historical reproducibility","YES","Supplement S7; Stage29 limitations matrix","YES","Auditable provenance does not mean every result is locally regenerable end to end."
"LIM29-015","A. Dataset and benchmark scope","YES","Supplement S7; Stage29 limitations matrix","YES","Unavailable or closed data and artifacts prevent regeneration of selected early evidence."
"LIM29-016","A. Dataset and benchmark scope","YES","Supplement S2; Stage29 limitations matrix","YES","Source-restricted graph evidence does not support unseen-host, deployment, or full-reference claims."
"LIM29-017","A. Dataset and benchmark scope","YES","Supplement S2; Stage29 limitations matrix","YES","One descriptive CNN/ViT contrast does not support general architecture superiority."
"LIM29-018","B. Temporal and family-composition confounding","YES","Supplement S6; Stage29 limitations matrix","YES","Reused historical target supports stability, not independent blind replication."
