"physical_cell","historical_label","substage","execution_role","artifact_family","mapping_status"
"312","Stage20-0 authentic packet-image/ViT protocol lock","protocol","precommit representation, split, and admissibility rules","stage20_vit_packet_image/stage20_0_representation_protocol_lock","DIRECT_NOTEBOOK_AND_ARTIFACT"
"313","Stage20-1A mounted-source and schema preflight","provenance","inspect mounted CICIDS2017 source availability","notebook output only","DIRECT_NOTEBOOK"
"314","Stage20-1A2 source-acquisition feasibility preflight","provenance","metadata-only acquisition planning; no download","notebook output only","DIRECT_NOTEBOOK"
"315","Stage20 runtime repair: Scapy install/verify","runtime_recovery","runtime-only dependency repair","notebook output only","DIRECT_NOTEBOOK"
"316","Stage20-1B development label acquisition/schema audit","label_provenance","acquire Monday–Thursday development labels and audit schema","stage20_vit_packet_image label evidence","DIRECT_NOTEBOOK"
"317","Stage20-1B2 Thursday label mirror forensic audit","label_provenance","diagnose 288602 NULL-label rows","stage20_vit_packet_image label evidence","DIRECT_NOTEBOOK"
"318","Stage20-1B3 development label hygiene/canonical freeze","label_provenance","freeze known Thursday-morning hygiene correction","stage20_vit_packet_image/stage20_1b3_label_hygiene_freeze","FAILED_OR_SUPERSEDED_BY_319"
"319","Stage20-1B3 schema-safe label hygiene repair","label_provenance","repair PyArrow batch-schema instability and freeze policy","stage20_vit_packet_image/stage20_1b3_label_hygiene_freeze","DIRECT_NOTEBOOK_AND_ARTIFACT"
"320","Stage20-1B4 alignment-metadata sufficiency amendment","reconstruction_spec","amend metadata sufficiency boundary","stage20_vit_packet_image/stage20_1b4e_packet_label_reconstruction_freeze","DIRECT_NOTEBOOK"
"321","Stage20-1B4A negative Flow Duration forensic audit","reconstruction_spec","characterize negative durations","stage20_vit_packet_image reconstruction evidence","DIRECT_NOTEBOOK"
"322","Stage20-1B4B nonpositive Flow Duration eligibility audit","reconstruction_spec","characterize Flow Duration <= 0","stage20_vit_packet_image reconstruction evidence","DIRECT_NOTEBOOK"
"323","Stage20-1B4C timestamp precision/envelope ambiguity audit","reconstruction_spec","audit timestamp precision and temporal envelopes","stage20_vit_packet_image reconstruction evidence","DIRECT_NOTEBOOK"
"324","Stage20-1B4D packet-reproducible flow-signature determinism audit","reconstruction_spec","test deterministic signature sufficiency","stage20_vit_packet_image reconstruction evidence","DIRECT_NOTEBOOK"
"325","Stage20-1B4E packet-to-label reconstruction protocol freeze","reconstruction_spec","freeze exact directed 21-field signature semantics","stage20_vit_packet_image/stage20_1b4e_packet_label_reconstruction_freeze","DIRECT_NOTEBOOK_AND_ARTIFACT"
"326","Stage20-1C1 Monday raw PCAP acquisition/integrity lock","source_provenance","acquire pinned Monday PCAP and verify integrity","later source receipts","DIRECT_NOTEBOOK"
