limitation_id,limitation,affected_stages,affected_claims,severity,mitigation_already_present,what_it_prevents_us_from_claiming,recommended_manuscript_location
"LIM29-001","Dataset-specific scope: the empirical chain centers on CSE-CIC-IDS2018 and a restricted CICIDS2017 bridge rather than live operational networks.","Stage01-Stage28","CLM29-001;CLM29-008;CLM29-010;CLM29-011;CLM29-013;CLM29-015","HIGH","Direction-specific populations and source provenance are recorded.","Generalization to arbitrary enterprises clouds IoT networks or current attacks.","Main limitations and dataset methods"
"LIM29-002","The early reference condition uses processed/rebalanced benchmark artifacts and a stratified split that is not representative of deployment prevalence or chronology.","Stage01-Stage12","CLM29-001;CLM29-002;CLM29-003","HIGH","Later temporal cross-dataset and prevalence audits explicitly stress the reference inference.","That high benchmark F1/ROC/PR establishes deployment validity.","Results opening and main limitations"
"LIM29-003","Temporal order and attack-family composition are entangled in several chronological comparisons.","Stage18;Stage22;Stage23;Stage27;Stage28","CLM29-005;CLM29-008;CLM29-010;CLM29-016;CLM29-019","HIGH","Stage28 includes random LOAO and family-aware controls and reports mixed outcomes.","Chronology alone or concept drift caused the observed contrast.","Temporal methods discussion and main limitations"
"LIM29-004","Cross-dataset conclusions depend on frozen 62/70-feature semantic bridges preprocessing and direction-specific source/target learners.","Stage24;Stage25","CLM29-011;CLM29-013","HIGH","Directions are reported separately and bridge provenance is frozen.","Bridge-independent portability or symmetry.","Cross-dataset methods/results and limitations"
"LIM29-005","Two GROUNDED_S4 target cells were cancelled before target opening because durable physical-row membership could not be reconstructed without a new heuristic.","Stage24;Stage25","CLM29-012;CLM29-013","MEDIUM","No fuzzy substitute or slot reallocation was used; cancellation remains visible.","That all preregistered cross-dataset sensitivities were completed.","Main limitations plus supplement governance table"
"LIM29-006","LOAO inference excludes DOS and AUTH_BRUTE_FORCE under day-atomic chronology and includes heterogeneous family support.","Stage27;Stage28","CLM29-015","HIGH","Eligibility gates and family-specific results are explicit.","Uniform evaluation or universal unseen-family detection across all families.","Unseen-family methods/results and main limitations"
"LIM29-007","Infiltration has only 36 held-out positive examples in the LOAO audit and remains descriptive only.","Stage27;Stage28","CLM29-015","HIGH","It is flagged as descriptive in tables figures and stability synthesis.","Inferential claims for Infiltration or pooling it as primary evidence.","Adjacent to LOAO results and main limitations"
"LIM29-008","Historical paired bootstrap intervals including Stage08 and Stage24 flag sensitivity are conditional on frozen samples arrays and implementations.","Stage08;Stage09;Stage10;Stage23;Stage24","CLM29-002;CLM29-003;CLM29-010;CLM29-011","MEDIUM","Conditional status and native metric intervals are recorded; Stage29 creates none.","Population-wide uncertainty or unconditional significance.","Statistical methods and limitations"
"LIM29-009","Training-seed scope is finite and full hyperparameter optimization was not repeated at every seed.","Stage12;Stage28","CLM29-008;CLM29-015;CLM29-016","MEDIUM","Five frozen seeds and 108 planned fits provide descriptive stability closure without best-seed selection.","Population guarantees or that 5/5 is a significance test.","Stability methods/results and limitations"
"LIM29-010","Some historical dependencies and execution environments remain VERSION_NOT_PROVEN or only partially proven.","Stage01-Stage21","CLM29-001;CLM29-002;CLM29-003;CLM29-004;CLM29-005;CLM29-006;CLM29-007","MEDIUM","Exact notebook bytes cell maps configs extracted code and equivalence tests are archived.","Bit-for-bit full historical rerun equivalence for every early stage.","Reproducibility subsection and limitations"
"LIM29-011","Stage26 timings resource usage and speedups are specific to the measured hardware software batch and component boundary.","Stage26","CLM29-014","HIGH","Hardware/runtime receipts and unsupported backend statuses are frozen.","Universal latency throughput speedup or complete end-to-end IDS timing.","Adjacent to deployment result and main limitations"
"LIM29-012","Stage25 uses prior-probability shift: TPR and FPR remain fixed while prevalence changes.","Stage25","CLM29-013","HIGH","The assumption is explicit and multiple prevalence points are reported.","Observed performance under covariate concept protocol topology user or attacker shift.","Operational methods/results and main limitations"
"LIM29-013","Analyst time SOC capacity and relative false-alert/missed-attack costs are frozen scenarios rather than measured organization-specific economics.","Stage10;Stage25","CLM29-013","HIGH","Multiple capacity and cost scenarios expose sensitivity.","Universal SOC usefulness workload or monetary return.","Operational methods and main limitations"
"LIM29-014","Repository-wide reproducibility is strong for provenance and scalar evidence but incomplete for full scientific reruns because raw datasets models arrays or dependencies are unavailable or intentionally closed.","Stage01-Stage28","CLM29-001;CLM29-002;CLM29-003;CLM29-004;CLM29-005;CLM29-006;CLM29-007;CLM29-008;CLM29-009;CLM29-010;CLM29-011;CLM29-013;CLM29-014;CLM29-015;CLM29-016","HIGH","Final audit matrix configs canonical code notebooks hashes and 127 static tests are present.","That all results can be regenerated locally end to end.","Reproducibility subsection and main limitations"
"LIM29-015","External raw datasets and some historical model/probability/explanation artifacts are unavailable or deliberately not opened by safe interfaces.","Stage01-Stage21","CLM29-001;CLM29-004;CLM29-005;CLM29-006;CLM29-007","MEDIUM","Frozen summaries receipts schemas hashes and extracted methods preserve traceability.","Recomputed early metrics explanations or exact unseen source relationships.","Reproducibility subsection and supplement"
"LIM29-016","The Stage18 graph experiment is restricted to an endpoint-authenticated Feb20 source and unseen topology was not estimable.","Stage18","CLM29-006","HIGH","It is classified conditional and supplement-only.","Interchangeability with the ten-file benchmark deployment readiness or unseen-host generalization.","Representation supplement and main limitations if cited"
"LIM29-017","The Stage21 CNN/ViT comparison is a single descriptive frozen comparison rather than a confirmatory architecture study.","Stage21","CLM29-007","MEDIUM","Claim status is descriptive and supplement-only.","Universal ViT or CNN superiority.","Architecture supplement"
"LIM29-018","The Stage28 Stage22 target is a robustness re-evaluation of the already historically opened shared holdout and is not a new blind external holdout.","Stage22;Stage28","CLM29-008;CLM29-009","HIGH","The provenance linkage and no-new-untouched-holdout boundary are explicit.","Independent blind replication of the temporal result.","Temporal methods and main limitations"
