stage,research_role,canonical_source,reproducibility_class,strongest_equivalence,environment_status,scientific_target_status,known_limitations
Stage01,Validation-safe split and scaling,"NB001 cell93; extracted methodology",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,PARTIALLY_PROVEN,EXTERNAL_INPUT_NOT_OPENED,"Raw processed IDS2018 data external."
Stage02,Sixteen-model baseline,"NB001 cells94-95; extracted constructors",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,C,PARTIALLY_PROVEN,NO_FIT_OR_INFERENCE,"Serialized model coverage incomplete; neural dependencies partial."
Stage03,Validation-safe tuning,"NB001 cells96-101; extracted search spaces",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,PARTIALLY_PROVEN,NO_SEARCH_OR_FIT,"HPO not rerun; external data."
Stage04,Operating-point selection,"NB001 cells102-104 and106; extracted threshold rules",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,PARTIALLY_PROVEN,THRESHOLD_SELECTION_CLOSED,"SciPy/Matplotlib unproven; sweep not rerun."
Stage05,Frozen holdout evaluation,"NB001 cells105 and107; extracted metric method",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,C,PARTIALLY_PROVEN,HOLDOUT_CLOSED,"Holdout intentionally unopened; Joblib/SciPy unproven."
Stage06,Dual-model TreeSHAP,"NB001 cell108; extracted methodology",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,VERSION_NOT_PROVEN,HOLDOUT_AND_EXPLANATIONS_CLOSED,"Exact Joblib inputs/SHAP matrices absent."
Stage07,Publication packaging,"NB001 cells109-115; extracted inventory method",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,VERSION_NOT_PROVEN,SCIENTIFIC_EXECUTION_NOT_APPLICABLE,"Destructive packaging disabled; historical tool versions unproven."
Stage08,Bootstrap confidence,"NB001 cells116-117; extracted method",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,PROVEN,BOOTSTRAP_REGENERATION_CLOSED,"Frozen arrays static; no regeneration."
Stage09,Calibration assessment,"NB001 cell118; extracted method",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,PROVEN,HOLDOUT_AND_BOOTSTRAP_CLOSED,"No recalibration or regeneration."
Stage10,Operational cost,"NB001 cell119; extracted method",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,VERSION_NOT_PROVEN,SELECTION_AND_HOLDOUT_CLOSED,"Historical runtime unproven."
