claim_id,claim_text,claim_strength,supporting_evidence_ids,contradictory_evidence_ids,native_metric,scope,required_qualifier,residual_limitation,manuscript_section,status
"CLM29-001","Conventional validation and holdout evaluation produced strong discrimination for the selected tree ensembles.","DIRECTLY_DEMONSTRATED","E29-004;E29-005;E29-006;E29-007","E29-020;E29-021;E29-025","F1;F2;FPR;ROC-AUC;PR-AUC","processed IDS2018 reference memberships","under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","Results: benchmark reference","KEEP_WITH_QUALIFICATION"
"CLM29-002","The balanced XGBoost-LightGBM performance difference was not statistically resolved on the frozen reference holdout.","DIRECTLY_DEMONSTRATED","E29-009","","F1 difference and paired interval","balanced operating points on the original holdout","on the frozen holdout and historical paired bootstrap","A non-resolved difference does not prove equivalence","Results: benchmark reference","KEEP"
"CLM29-003","No statistically resolved calibration winner was identified between the final XGBoost and LightGBM reference models.","DIRECTLY_DEMONSTRATED","E29-011","","Brier score; log loss; ECE; paired intervals","original processed IDS2018 holdout","without recalibration on the frozen holdout","Calibration under deployment prior shift was not measured","Results: benchmark reference","KEEP"
"CLM29-004","LIME explanations were repeatable across perturbation seeds but frequently failed local fidelity criteria relative to model behavior and TreeSHAP.","SUPPORTED_WITHIN_SCOPE","E29-015","","qualified count; local-decision failures; top-10 Jaccard","deterministic 64-case local panel","in the deterministic outcome-stratified panel","Study-specific criteria and selected cases restrict generality","Discussion: explanation validity","KEEP_WITH_QUALIFICATION"
"CLM29-005","The recovered temporal provenance showed that the inherited Stage15 membership was unsafe for temporal-window evaluation.","SUPPORTED_WITHIN_SCOPE","E29-016","","provenance fraction; mixed-bin rate; temporal proximity","timestamp-recovered Stage18 audit population","with incomplete timestamp recovery and for temporal-window claims","This does not invalidate every use of the split or identify concept drift","Methods/Results: temporal validity","KEEP_WITH_QUALIFICATION"
"CLM29-006","On the source-restricted graph subset strong ranking coexisted with zero detection at the frozen threshold.","DESCRIPTIVE","E29-018","","PR-AUC;ROC-AUC;F1;recall;TP","source-restricted Feb20 graph evidence","on the source-restricted subset at the frozen threshold","Unseen topology was not estimable","Supplement: representation diagnostics","SUPPLEMENT_ONLY"
"CLM29-007","The frozen Stage21 ViT run ranked higher than its CNN comparator on the shared Friday evaluation.","DESCRIPTIVE","E29-019","","PR-AUC;ROC-AUC","single restored Friday comparison","descriptively under the frozen Stage21 conditions","Single model realizations do not establish architecture superiority","Supplement: architecture chronology","SUPPLEMENT_ONLY"
"CLM29-008","Chronological development produced higher forward-holdout ranking than random development for every one of the five frozen Stage28 seed linkages.","SUPPORTED_WITHIN_SCOPE","E29-020;E29-037;E29-038","E29-040","PR-AUC;ROC-AUC;five-seed mean and SD;5/5 ordering","shared 1374133-row Stage22 final holdout","under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","Results: temporal validity","KEEP_WITH_QUALIFICATION"
"CLM29-009","Frozen development operating thresholds transferred poorly to the shared forward target even when ranking improved.","DIRECTLY_DEMONSTRATED","E29-021","","FPR and firing behavior","four Stage22 cells on one forward target","without post-holdout adaptation","No deployment recalibration or prospective field test was performed","Results: temporal validity","KEEP_WITH_QUALIFICATION"
"CLM29-010","Shortcut-feature ablation effects depended on the split and learner rather than supporting one universal removal benefit.","SUPPORTED_WITHIN_SCOPE","E29-022;E29-023","","native PR-AUC and ROC-AUC interactions; frozen controls","seven frozen subsets and associated controls","under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","Results: shortcut sensitivity","KEEP_WITH_QUALIFICATION"
"CLM29-011","Cross-dataset ranking transfer was strongly directional: the frozen IDS2018-to-CICIDS2017 bridge retained signal while the reverse bridge was near baseline.","DIRECTLY_DEMONSTRATED","E29-024;E29-025","","direction-specific PR-AUC and ROC-AUC","frozen bridge62 populations","for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","Results: cross-dataset validity","KEEP_WITH_QUALIFICATION"
