stage,config_path,source_notebook_or_script,source_cells,source_protocol,frozen_result_dependencies,environment_dependency,scientific_execution_allowed,notes
Stage01,configs/stage01/protocol.json,NB001;NB002,93,Notebook split/scaler lock,metadata,Core NumPy/pandas/scikit-learn receipt,FALSE,"Raw dataset external; dry-run and verify-only only."
Stage02,configs/stage02/protocol.json,NB001;NB002,94-95,Notebook baseline constructor inventory,results/baseline;metadata,Mixed proven classical and unproven neural dependencies,FALSE,"Sixteen constructors preserved; no fit path exposed."
Stage03,configs/stage03/protocol.json,NB001;NB002,96-101,Notebook HPO grids and scheduling locks,results/tuning;models;metadata,Mixed proven classical and unproven neural dependencies,FALSE,"Search spaces are static; HPO disabled."
Stage04,configs/stage04/protocol.json,NB001;NB002,"102-104;106",Notebook threshold/tie-break locks,results/threshold;metadata,Core versions proven; SciPy/Matplotlib unproven,FALSE,"Validation threshold selection disabled."
Stage05,configs/stage05/protocol.json,NB001;NB002,"105;107",Notebook final-choice and metric locks,results/holdout;metadata,Core learners proven; Joblib/SciPy unproven,FALSE,"Frozen holdout remains closed."
Stage06,configs/stage06/protocol.json,NB001;NB002,108,Notebook shared-sample TreeSHAP protocol,results/shap;figures/shap;metadata,Historical runtime VERSION_NOT_PROVEN,FALSE,"Exact Joblib inputs and SHAP matrices are missing."
Stage07,configs/stage07/protocol.json,NB001;NB002,109-115,Notebook publication/archive protocol,figures;tables;results/publication_archive_through_stage21,Historical runtime VERSION_NOT_PROVEN,FALSE,"Destructive cleanup/archive creation disabled."
Stage08,configs/stage08/protocol.json,NB001,116-117,Frozen bootstrap protocol and environment receipts,results/statistical_confidence;metadata/statistical_confidence,Receipt-proven analysis runtime,FALSE,"Frozen arrays checked statically; no bootstrap generation."
Stage09,configs/stage09/protocol.json,NB001,118,Frozen calibration protocol and environment receipts,results/calibration;metadata/calibration,Receipt-proven analysis runtime,FALSE,"No recalibration or bootstrap generation."
Stage10,configs/stage10/protocol.json,NB001,119,Notebook cost-selection protocol,results/operational_cost;metadata/operational_cost,Historical runtime VERSION_NOT_PROVEN,FALSE,"Cost selection and holdout evaluation disabled."
Stage11,configs/stage11/protocol.json,NB001,120,Notebook taxonomy/statistical protocol,results/attack_category;metadata/attack_category,Historical runtime VERSION_NOT_PROVEN,FALSE,"No category reconstruction or holdout access."
Stage12,configs/stage12/protocol.json,NB001,121-129,Frozen fixed-hyperparameter multi-seed protocol,results/multiseed;metadata/multiseed,Core learner runtime proven; ancillary versions partial,FALSE,"No split fit or threshold rerun."
