"audit_id","manuscript_location","claim_id","claim_text_summary","evidence_ids","qualifier_present","limitation_link","registry_status","occurrence_status"
"P2C-FCA-001","Abstract, result sentence","CLM29-001","Strong processed-reference discrimination","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-002","Abstract, temporal sentence","CLM29-008","Chronological-natural forward PR-AUC exceeded random-natural across the frozen seeds","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-003","Abstract, temporal sentence","CLM29-009","Frozen temporal thresholds transferred poorly","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-004","Abstract, temporal sentence","CLM29-016","Controls did not isolate chronology as the sole mechanism","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"P2C-FCA-005","Abstract, transfer sentence","CLM29-011","Cross-dataset ranking was directional","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-006","Abstract, family sentence","CLM29-015","Eligible-family outcomes were selective and learner or support dependent","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-007","Abstract, operational sentence","CLM29-013","High PPV and low workload each had counterexamples","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-008","Introduction, paragraph 1","CLM29-001","Benchmark performance and broader validated capability are non-equivalent","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-009","Introduction, evidence paragraph","CLM29-001","Processed-reference discrimination remained strong","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-010","Introduction, evidence paragraph","CLM29-008","Chronological development retained higher forward ranking","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-011","Introduction, evidence paragraph","CLM29-009","Transferred temporal thresholds remained poor","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-012","Introduction, evidence paragraph","CLM29-010","Shortcut interventions depended on split and placebo context","E29-022;E29-023","YES: under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-013","Introduction, evidence paragraph","CLM29-016","Placebos prevented a causal leakage conclusion","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"P2C-FCA-014","Introduction, evidence paragraph","CLM29-011","Forward signal contrasted with weak reverse transfer","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-015","Introduction, evidence paragraph","CLM29-015","Withheld-family outcomes were heterogeneous","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-016","Introduction, evidence paragraph","CLM29-013","Projected PPV and workload did not align uniformly","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-017","Datasets 3.1, processed role","CLM29-001","The processed reference supports only within-table claims","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-018","Datasets 3.1, temporal role","CLM29-005","Inherited membership was unsafe for temporal-window evaluation","E29-016","YES: with incomplete timestamp recovery and for temporal-window claims","This does not invalidate every use of the split or identify concept drift","KEEP_WITH_QUALIFICATION","RESOLVED"
