audit_id,manuscript_location,claim_id,claim_text_summary,evidence_ids,qualifier_present,limitation_link,status
MCA-001,"Abstract, sentence 3",CLM29-001,"Selected balanced tree ensemble had strong reference F1 and PR-AUC","E29-004;E29-005;E29-006;E29-007","YES: conventional processed reference condition","LIM29-001;LIM29-002;LIM29-010;LIM29-014",RESOLVED
MCA-002,"Abstract, sentence 5",CLM29-008,"Chronological-natural mean forward ranking exceeded random-natural ranking in every frozen seed","E29-020;E29-037;E29-038","YES: shared forward target and frozen seed set","LIM29-001;LIM29-003;LIM29-009;LIM29-014;LIM29-018",RESOLVED
MCA-003,"Abstract, sentence 5",CLM29-009,"Frozen operating thresholds transferred poorly","E29-021","YES: frozen thresholds on the shared forward target","LIM29-001;LIM29-003;LIM29-014;LIM29-018",RESOLVED
MCA-004,"Abstract, sentence 5",CLM29-016,"Controls did not isolate chronology as the sole causal mechanism","E29-040","YES: mixed family-specific controls","LIM29-003;LIM29-009;LIM29-014",RESOLVED
MCA-005,"Abstract, sentence 6",CLM29-011,"Cross-dataset ranking was directional","E29-024;E29-025","YES: evaluated bridge and direction-specific populations","LIM29-001;LIM29-004;LIM29-005;LIM29-008;LIM29-014",RESOLVED
MCA-006,"Abstract, sentence 7",CLM29-013,"High projected PPV did not guarantee manageable workload and low workload did not guarantee useful yield","E29-028;E29-029;E29-030;E29-031","YES: frozen prior-shift and workload assumptions","LIM29-001;LIM29-004;LIM29-005;LIM29-012;LIM29-013;LIM29-014",RESOLVED
MCA-007,"Abstract, sentence 8",CLM29-015,"Unseen-family results were selective and learner-dependent","E29-034;E29-035;E29-036;E29-039","YES: eligible families; low-support evidence kept descriptive","LIM29-001;LIM29-003;LIM29-006;LIM29-007;LIM29-009;LIM29-014",RESOLVED
MCA-008,"Introduction, paragraph 4",CLM29-001,"Reference discrimination is a benchmark condition rather than deployment evidence","E29-004;E29-005;E29-006;E29-007","YES: processed IDS2018 reference memberships","LIM29-001;LIM29-002;LIM29-010;LIM29-014",RESOLVED
MCA-009,"Introduction, contribution 2",CLM29-008,"Temporal audit separates ranking stability from threshold transfer","E29-020;E29-021;E29-037;E29-038","YES: frozen protocol and seed set","LIM29-001;LIM29-003;LIM29-009;LIM29-014;LIM29-018",RESOLVED
MCA-010,"Introduction, contribution 3",CLM29-010,"Shortcut audit retains split learner placebo and interpretation boundaries","E29-022;E29-023","YES: seven frozen subsets and associated controls","LIM29-001;LIM29-003;LIM29-008;LIM29-014",RESOLVED
MCA-011,"Introduction, contribution 3",CLM29-011,"Cross-dataset audit preserves direction and bridge restrictions","E29-024;E29-025","YES: evaluated bridge and target populations","LIM29-001;LIM29-004;LIM29-005;LIM29-008;LIM29-014",RESOLVED
MCA-012,"Introduction, contribution 4",CLM29-013,"Operational translation is conditional on prevalence workload and cost assumptions","E29-028;E29-029;E29-030;E29-031","YES: frozen scenario assumptions","LIM29-001;LIM29-004;LIM29-005;LIM29-012;LIM29-013;LIM29-014",RESOLVED
MCA-013,"Introduction, contribution 4",CLM29-014,"Computational profiles retain hardware and component boundaries","E29-032;E29-033","YES: recorded Stage26 hardware and software","LIM29-011;LIM29-014",RESOLVED
MCA-014,"Introduction, contribution 5",CLM29-015,"Eligibility-gated family results do not establish universal zero-day detection","E29-034;E29-035;E29-036;E29-039","YES: eligible families and learner-specific results","LIM29-001;LIM29-003;LIM29-006;LIM29-007;LIM29-009;LIM29-014",RESOLVED
MCA-015,"Datasets 3.1, paragraph 1",CLM29-001,"Processed rebalanced IDS2018 memberships define the conventional reference scope","E29-001;E29-004;E29-005;E29-006;E29-007","YES: not natural-prevalence session-independent or forward-temporal","LIM29-001;LIM29-002;LIM29-010;LIM29-014",RESOLVED
MCA-016,"Datasets 3.1, paragraph 2",CLM29-005,"Source-faithful temporal population is distinct from processed reference membership","E29-016","YES: incomplete timestamp recovery and temporal-window scope","LIM29-003;LIM29-010;LIM29-014;LIM29-015",RESOLVED
MCA-017,"Datasets 3.2, paragraphs 1-2",CLM29-011,"Bidirectional transfer uses frozen semantic bridges and direction-specific populations","E29-024;E29-025","YES: bridge source target and serialization scope retained","LIM29-001;LIM29-004;LIM29-005;LIM29-008;LIM29-014",RESOLVED
MCA-018,"Datasets 3.2, paragraph 3",CLM29-012,"Two GROUNDED_S4 cells were cancelled before target opening","E29-027","YES: no substitute scientific result exists","LIM29-004;LIM29-005;LIM29-014",RESOLVED
MCA-019,"Datasets 3.3, paragraph 2",CLM29-015,"Five families were eligible and Infiltration remained descriptive","E29-034;E29-035;E29-036;E29-039","YES: frozen eligibility and support gates","LIM29-001;LIM29-003;LIM29-006;LIM29-007;LIM29-009;LIM29-014",RESOLVED
MCA-020,"Methods 4.1",CLM29-001,"Reference protocol estimates conventional within-table performance only","E29-004;E29-005;E29-006;E29-007","YES: validation-selected points and processed holdout","LIM29-001;LIM29-002;LIM29-010;LIM29-014",RESOLVED
MCA-021,"Methods 4.2",CLM29-008,"Temporal protocol compares frozen development geometries on one shared target","E29-020;E29-037;E29-038","YES: descriptive frozen seed stability","LIM29-001;LIM29-003;LIM29-009;LIM29-014;LIM29-018",RESOLVED
MCA-022,"Methods 4.2",CLM29-016,"Family-aware controls limit causal attribution to chronology","E29-040","YES: controls mixed and family-specific","LIM29-003;LIM29-009;LIM29-014",RESOLVED
MCA-023,"Methods 4.3",CLM29-010,"Shortcut ablations estimate conditional sensitivity not a causal leakage mechanism","E29-022;E29-023","YES: evaluated subsets split cells and learners","LIM29-001;LIM29-003;LIM29-008;LIM29-014",RESOLVED
MCA-024,"Methods 4.4",CLM29-011,"Transfer protocol reports direction-specific bridge metrics without target-guided adaptation","E29-024;E29-025","YES: frozen bridge and populations","LIM29-001;LIM29-004;LIM29-005;LIM29-008;LIM29-014",RESOLVED
MCA-025,"Methods 4.4",CLM29-012,"Cancelled cross-dataset cells remain outside the estimable set","E29-027","YES: cancelled before target opening","LIM29-004;LIM29-005;LIM29-014",RESOLVED
MCA-026,"Methods 4.5",CLM29-013,"Prevalence stress is an invariant-rate projection rather than a field trial","E29-028;E29-029;E29-030;E29-031","YES: prior shift workload and cost assumptions explicit","LIM29-001;LIM29-004;LIM29-005;LIM29-012;LIM29-013;LIM29-014",RESOLVED
MCA-027,"Methods 4.6",CLM29-014,"Deployment profiling measures compatible probability-generation paths only","E29-032;E29-033","YES: measured hardware software batch and component boundary","LIM29-011;LIM29-014",RESOLVED
MCA-028,"Methods 4.7",CLM29-015,"LOAO protocol is eligibility-gated and learner-specific","E29-034;E29-035;E29-036;E29-039","YES: two ineligible families and descriptive Infiltration","LIM29-001;LIM29-003;LIM29-006;LIM29-007;LIM29-009;LIM29-014",RESOLVED
MCA-029,"Results 5.1, paragraph 1 and Table 1",CLM29-001,"Selected ensembles achieved strong conventional reference discrimination","E29-004;E29-005;E29-006;E29-007","YES: validation-selected operating points on processed holdout","LIM29-001;LIM29-002;LIM29-010;LIM29-014",RESOLVED
MCA-030,"Results 5.1, paragraph 2",CLM29-002,"Balanced learner difference was unresolved on the frozen holdout","E29-009","YES: historical paired bootstrap on frozen holdout","LIM29-002;LIM29-008;LIM29-010;LIM29-014",RESOLVED
MCA-031,"Results 5.1, paragraph 3",CLM29-003,"No statistically resolved calibration winner was identified","E29-011","YES: without recalibration on frozen holdout","LIM29-002;LIM29-008;LIM29-010;LIM29-014",RESOLVED
MCA-032,"Results 5.2, paragraph 1 and Table 2",CLM29-008,"Chronological-natural forward ranking exceeded random-natural ranking across all five seeds","E29-020;E29-037;E29-038","YES: shared Stage22 target and frozen Stage28 protocol","LIM29-001;LIM29-003;LIM29-009;LIM29-014;LIM29-018",RESOLVED
MCA-033,"Results 5.2, paragraph 2",CLM29-009,"Frozen threshold transfer was poor despite stronger chronological ranking","E29-021","YES: four frozen cells on one forward target","LIM29-001;LIM29-003;LIM29-014;LIM29-018",RESOLVED
MCA-034,"Results 5.2, paragraph 3",CLM29-016,"Controls did not identify a single temporal mechanism","E29-040","YES: mixed family-specific controls","LIM29-003;LIM29-009;LIM29-014",RESOLVED
MCA-035,"Results 5.3, paragraphs 1-2",CLM29-010,"Shortcut-ablation effects varied by split learner subset and placebo context","E29-022;E29-023","YES: evaluated frozen subsets and controls","LIM29-001;LIM29-003;LIM29-008;LIM29-014",RESOLVED
MCA-036,"Results 5.3, paragraph 3",CLM29-004,"Stable LIME rankings frequently lacked local fidelity","E29-015","YES: deterministic outcome-stratified 64-case panel","LIM29-001;LIM29-010;LIM29-014;LIM29-015",RESOLVED
MCA-037,"Results 5.4, paragraphs 1-2 and Table 3",CLM29-011,"Cross-dataset ranking and serialization effects were direction- and metric-specific","E29-024;E29-025","YES: frozen bridges and direction-specific target populations","LIM29-001;LIM29-004;LIM29-005;LIM29-008;LIM29-014",RESOLVED
MCA-038,"Results 5.4, paragraph 3",CLM29-012,"Cancelled GROUNDED_S4 cells remain an explicit result boundary","E29-027","YES: cancellation before target opening","LIM29-004;LIM29-005;LIM29-014",RESOLVED
MCA-039,"Results 5.5, paragraphs 1-2 and Table 4",CLM29-013,"PPV workload yield and relative-cost preference diverged under frozen prior-shift scenarios","E29-028;E29-029;E29-030;E29-031","YES: analytic projections with fixed rates and scenario assumptions","LIM29-001;LIM29-004;LIM29-005;LIM29-012;LIM29-013;LIM29-014",RESOLVED
MCA-040,"Results 5.6, paragraph 1",CLM29-014,"CPU/GPU latency ratios varied by compatible model path","E29-032;E29-033","YES: batch one on recorded hardware and component boundary","LIM29-011;LIM29-014",RESOLVED
MCA-041,"Results 5.7, paragraphs 1-2 and Table 5",CLM29-015,"LOAO ranking was family- and learner-dependent with low-support evidence descriptive","E29-034;E29-035;E29-036;E29-039","YES: eligible families under frozen LOAO protocol","LIM29-001;LIM29-003;LIM29-006;LIM29-007;LIM29-009;LIM29-014",RESOLVED
MCA-042,"Results 5.8, paragraph 2",CLM29-016,"Stability controls did not isolate one common mechanism","E29-040","YES: mixed family-specific control outcomes","LIM29-003;LIM29-009;LIM29-014",RESOLVED
MCA-043,"Discussion 6.1",CLM29-001,"Strong benchmark discrimination remains useful but not deployment evidence","E29-004;E29-005;E29-006;E29-007","YES: processed stratified reference condition","LIM29-001;LIM29-002;LIM29-010;LIM29-014",RESOLVED
MCA-044,"Discussion 6.2",CLM29-008,"Chronological development improved ranking under the frozen comparison","E29-020;E29-037;E29-038","YES: common target and finite seed set","LIM29-001;LIM29-003;LIM29-009;LIM29-014;LIM29-018",RESOLVED
MCA-045,"Discussion 6.2",CLM29-010,"Shortcut effects do not identify one universal removal or causal mechanism","E29-022;E29-023","YES: split learner subset and control conditionality","LIM29-001;LIM29-003;LIM29-008;LIM29-014",RESOLVED
MCA-046,"Discussion 6.2",CLM29-016,"Temporal and family-composition controls remained mixed","E29-040","YES: causal interpretation explicitly limited","LIM29-003;LIM29-009;LIM29-014",RESOLVED
MCA-047,"Discussion 6.3",CLM29-011,"Transferability is asymmetric and conditional on semantic bridges","E29-024;E29-025","YES: source models targets prevalence and bridges differ","LIM29-001;LIM29-004;LIM29-005;LIM29-008;LIM29-014",RESOLVED
