"stage","substage","scientific_role","notebook_source","notebook_cells","script_source","historical_execution_source","frozen_result_path","commit_sha","canonical_reproduction_source","status","notes"
"Stage21","Stage21-0","CNN/ViT follow-up protocol lock","notebooks/archive/stage21_stage22_research_continues.ipynb","2-4","scripts/stage21_masked_vit.py","notebook plus frozen protocol artifact","results/stage21_architecture/stage21_0_cnn_vit_followup_protocol_lock.json","ad0b38ec908686fe46616c4a8ee0a3ec36092492","scripts/stage21_masked_vit.py plus frozen protocol","NOTEBOOK_PLUS_SCRIPT","Single candidate frozen before training; Stage18 conclusion remains historically unchanged."
"Stage21","Stage21-1R1-M/T","Monday and Tuesday exact compact-corpus restoration","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb","462-488","","notebook cells and restoration receipts","results/stage21_architecture/stage21_1r1m_monday_exact_restoration.json; results/stage21_architecture/stage21_1r1t_tuesday_exact_restoration.json","f50cb8bdeb3285b87df55210f4b351d615b0026b","archived notebook cells plus frozen receipts","NOTEBOOK_CANONICAL","Cells 462-488 are only the initial Stage21 restoration chain."
"Stage21","Stage21-1R1-W/V","Wednesday and Thursday exact restoration","notebooks/archive/stage21_stage22_research_continues.ipynb","4-43","","notebook cells and restoration receipts","results/stage21_architecture/stage21_1r1w_wednesday_exact_restoration.json; results/stage21_architecture/stage21_1r1v_thursday_exact_restoration.json","9969832d0792c8dc118beb2bc108dd0834651b43","archived notebook cells plus frozen receipts","NOTEBOOK_CANONICAL","Wednesday hybrid-v3 and Thursday equivalence recovery are chronological historical evidence."
"Stage21","Stage21-2","Frozen masked ViT training","notebooks/archive/stage21_stage22_research_continues.ipynb","44-50","scripts/stage21_masked_vit.py; results/stage21_architecture/stage21_2_train_fast_executed.py","notebook cell 49 contains exact executed worker","results/stage21_architecture/stage21_2_training_manifest.json; results/stage21_architecture/stage21_2_epoch10_model_state_dict.pt","57ce1530559fadae3126ef6adfb2ecc097c1a4c6","executed worker plus model module and frozen manifest","NOTEBOOK_PLUS_SCRIPT","Seed 42; 10 epochs; batch 256; no validation during training."
"Stage21","Stage21-3","Thursday validation and threshold freeze","notebooks/archive/stage21_stage22_research_continues.ipynb","51-53","results/stage21_architecture/stage21_3_thursday_eval_executed.py","notebook cell 51 contains exact executed worker","results/stage21_architecture/stage21_3_thursday_validation_evaluation.json","297c45aa7bc82a724e9f83a88042c6f9aa002e4d","exact executed worker plus frozen evaluation","NOTEBOOK_PLUS_SCRIPT","One historical Thursday inference pass; no rerun authorized."
"Stage21","Stage21-4","Locked Friday reuse benchmark","notebooks/archive/stage21_stage22_research_continues.ipynb","54-66","results/stage21_architecture/stage21_4_friday_eval_executed.py","notebook cell 66 contains exact executed worker","results/stage21_architecture/stage21_4_friday_reuse_evaluation.json","ba2db6a70e195ef97b05f2e51e5d27dae0e26c73","exact executed worker plus frozen evaluation","NOTEBOOK_PLUS_SCRIPT","Known nonconfirmatory reuse benchmark; no threshold selection from Friday."
"Stage21","Stage21-5","CNN versus ViT descriptive comparison and paired bootstrap","notebooks/archive/stage21_stage22_research_continues.ipynb","67-69","results/stage21_architecture/stage21_5_cnn_vit_compare_executed.py","preserved executed comparison worker after numerical gate repair","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","a2f1bde102b98ae031e0dfea47a02d016fb9235d","executed worker plus frozen comparison","NOTEBOOK_PLUS_SCRIPT","Descriptive not confirmatory; 10000 frozen bootstrap replicates."
"Stage21","Stage21-XAI","Post-result Integrated Gradients","notebooks/archive/stage21_stage22_research_continues.ipynb","70-80","scripts/stage21_xai1b_locked_ig.py","notebook invokes the frozen corrected harness","results/stage21_architecture/stage21_xai1b_integrated_gradients_result.json","9726ec87c4931ce3d8dec8bdbe932e741bc3cc1c","frozen harness plus result/receipt artifacts","NOTEBOOK_PLUS_SCRIPT","XAI2 stopped on frozen completeness limitation; no recomputation authorized."
"Stage21","Stage21 publication closeout","Frozen-result figures and seal","notebooks/archive/stage21_stage22_research_continues.ipynb","81-85","scripts/stage21_generate_publication_figures.py; scripts/generate_publication_gap_figures_through_stage21.py","notebook cells 82 and 84 contain exact scripts","results/stage21_architecture/stage21_publication_figure_manifest.json","429650d6856bb0f6fad987d50bae0e83107a15a3","preserved publication scripts","SCRIPT_CANONICAL","Post-scientific rendering only."
"Stage22","Stage22-0/1","Original temporal session-safe protocol and provenance recovery","notebooks/archive/stage21_stage22_research_continues.ipynb","86-97","","executed notebook cells","results/stage22_temporal_session_safe","5f8062935f67ca509a97101d126c0b6f3db39268","archived notebook plus static frozen artifacts","NOTEBOOK_CANONICAL","Original path superseded operationally by Stage22R but retained as provenance."
