audit_id,manuscript_location,literature_claim_ids,original_claim_scope,selected_citation_keys,support_assessment,overstatement_risk,required_action,approved_narrowed_wording,notes
RW-001,"2.1 paragraph 1","LC-013;LC-014;LC-015","CICIDS-family datasets supported extensive comparisons across four named model classes and enabled controlled comparisons under shared labels and flow features","sharafaldin2018toward;ring2019survey;cse_cic_ids2018_official",PARTIAL,"Extensive and the four-model-class enumeration are not established by the selected original paper or dataset survey",NARROW,"CICIDS-family releases provide documented flow-derived benchmark data for machine-learning evaluation. The original associated publication describes more than 80 CICFlowMeter features and evaluates seven machine-learning algorithms; later dataset surveys situate the releases among network-IDS benchmarks.","Keep the project's CSE-CIC-IDS2018 result explicitly framed as a processed reference condition rather than evidence of portability."
RW-002,"2.1 paragraph 2","LC-016;LC-017","Rebalancing improves control and tractability but changes priors and cannot reproduce live temporal or organizational structure","he2009imbalanced;sommer2010closed;pendlebury2019tesseract",PARTIAL,"Improve is directional and not guaranteed; live organizational structure is broader than any one source",NARROW,"Rebalancing changes the experimental class distribution and can be useful for a defined learning comparison, but it does not make the evaluation population representative of the temporal or prevalence conditions of deployment.","Do not imply that all balancing is invalid or caused any frozen project result."
RW-003,"2.2 paragraph 1","LC-018;LC-019;LC-020;LC-021","Repeated flows temporal adjacency sessions and concentrated families weaken random splits; chronological and session-aware evaluation are stronger","engelen2021troubleshooting;pendlebury2019tesseract;arp2022dos",PARTIAL,"Session-aware wording and the full network-traffic feature list lack one direct comparative IDS study; stronger is normative",NARROW,"Random partitioning can be optimistic when training and test records share collection artifacts, near-duplicate structure, or temporal and family dependencies. Security-ML work therefore recommends evaluation designs that respect the intended time and deployment direction; such designs can also change prevalence and class composition.","Retain the causal restraint that a temporal contrast is not automatically a concept-drift estimate."
RW-004,"2.2 paragraph 2","LC-022;LC-023;LC-024","Specific ports protocol indicators windows timing fields and extractor artifacts can be shortcuts; matched-size placebos and several controls identify causal structure","engelen2021troubleshooting;arp2022dos",PARTIAL,"The enumerated features and placebo precedent exceed direct source support; ablation sensitivity is not causation",NARROW,"Dataset identifiers, collection artifacts, and features produced by flawed extraction or labeling pipelines can be predictive without encoding transportable attack behavior. Feature removal establishes sensitivity to an intervention, while controls that test competing explanations are needed before a leakage or causal-transfer claim.","Placebo design remains this project's internally frozen control, not a literature-wide norm."
RW-005,"2.2 paragraph 3","LC-025;LC-026","LIME and exact tree attribution methods answer distinct questions; stability does not prove fidelity","ribeiro2016lime;lundberg2017shap;lundberg2020trees;yeh2019infidelity",FULL,"Global agreement was not required by the frozen gap and could invite an unsupported extra clause",NARROW,"LIME fits a local interpretable surrogate, whereas SHAP defines additive feature attributions and TreeSHAP supplies tree-specific algorithms. Explanation sensitivity or stability and fidelity are distinct evaluation properties; one cannot substitute for the other.","All four selected sources are original peer-reviewed method or evaluation papers."
RW-006,"2.3 paragraph 1","LC-027;LC-028;LC-029","Cross-dataset evaluation is common and transfer depends on every listed bridge property; averaging directions obscures results","dhooge2020interdataset;layeghy2023crossdomain;cantone2024crossdataset",PARTIAL,"Common is a frequency claim; not every source studies every bridge property",NARROW,"Cross-dataset evaluation directly tests performance when training and target traffic come from different benchmark domains. Published studies show that performance can depend strongly on dataset pairing, shared feature representation, and source-target direction, including marked asymmetry when the direction is reversed.","The frozen semantic bridges and separate directional reporting remain project-specific methods."
RW-007,"2.3 paragraph 2","LC-030;LC-031","Benchmark sensitivity/specificity cannot determine PPV false-alert volume analyst workload or economic preference; prior-shift calculations are projections","axelsson2000baserate;saerens2002prior;layman2023falsealarms",PARTIAL,"Economic preference is not directly supported by the selected external set and belongs to this project's declared cost scenarios",NARROW,"At rare attack prevalence, sensitivity and specificity alone do not determine PPV or false-alert burden, and controlled IDS-alarm evidence shows that false-alarm rate can affect analyst precision and time on task. Prior-probability-shift calculations are conditional analytic translations, not observed field performance.","Keep project cost outputs identified as scenario projections with frozen assumptions."
RW-008,"2.4 paragraph 1","LC-032;LC-033","Deployability depends on eight listed implementation factors; comparisons need explicit components unsupported paths and hardware","mattson2020mlperf;mirsky2018kitsune",PARTIAL,"The exhaustive list is broader than either source and artifact size is not a general deployment criterion established here",NARROW,"System feasibility depends on the measured inference path, workload scenario, latency or throughput metric, resource boundary, software configuration, and hardware. Benchmark values are interpretable only with those boundaries, and IDS demonstrations on constrained devices do not transfer their timing to a different pipeline.","Unsupported project paths remain disclosed from internal evidence rather than externalized."
RW-009,"2.4 paragraph 2","LC-034;LC-035;LC-036","LOAO is a standard controlled novelty analogue with chronology support learner and ranking/threshold conditions","scheirer2013openset;zoppi2023unknown;shin2023openset",PARTIAL,"The sources establish open-set and withheld-unknown protocols but not LOAO as a universal standard or the project's eligibility rules",NARROW,"Open-set recognition formalizes evaluation in which unknown classes can appear at test time, and IDS studies have evaluated attacks withheld from model training under explicitly constructed unknown-attack protocols. Conclusions depend on what is withheld, how unknown classes and thresholds are defined, and which metrics are reported. This study's leave-one-family-out design is a bounded benchmark analogue, not evidence of arbitrary future or live zero-day detection.","Use novelty/open-set/unknown-attack terms precisely and retain family-level project eligibility."
RW-010,"2.4 paragraph 3","LC-037;LC-038","Reproducibility requires executable methods environment provenance and target governance; repeated holdout risks survive code publication","pineau2021reproducibility;dwork2015holdout",PARTIAL,"Target governance and equivalence receipts are project-specific; code availability alone is only one reproducibility component",NARROW,"Machine-learning reproducibility programs emphasize code, experimental details, reporting checklists, and independent attempts to regenerate results. Separately, adaptive analysis shows that repeated use of holdout feedback can undermine ordinary validity guarantees. Code release therefore does not by itself resolve data, environment, provenance, or adaptation limits.","Describe locks archives ledgers and receipts as this repository's response rather than literature-established validation."
