physical_cell,execution_count,cell_type,stage,classification,scientific_role,inputs,outputs,frozen_artifacts,output_blocks,source_lines,source_sha256,notes
1,20,code,PRECURSOR,precursor,"This Python 3 environment comes with many helpful analytics libraries installed | It is defined by the kaggle/python Docker image: https://github.com/kaggle/docker-python | For example, here's several helpful packages to load",../input/; /kaggle/input; <owner>/<dataset-slug>,,,1,23,442f6f2f7ab29ffc1ae3f08d202b4d77e77f14ca4fcbf166047b72cc7e7d003f,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
2,21,code,PRECURSOR,precursor,"import os for dirname, _, filenames in os.walk(""/kaggle/input""): for filename in filenames: print(os.path.join(dirname, filename))",/kaggle/input,,,1,5,e68de1cc9719b49e03131ab1f820aa7f04348aa7748ffa88b47c8e47fe7741bb,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
3,22,code,PRECURSOR,precursor,"import tensorflow as tf print(""TensorFlow:"", tf.__version__) print(""GPU devices:"", tf.config.list_physical_devices(""GPU""))",,,,1,4,c30f348f37b4469f821ceb1c8bf02470a1846222ff9f2b442c9ad25e2dba5e60,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
4,23,code,PRECURSOR,precursor,"import os import time import numpy as np import pandas as pd import tensorflow as tf print(""TensorFlow:"", tf.__version__) print(""GPU devices:"", tf.config.list_physical_devices(""GPU"")) DATA_PATH = ""/kaggle/input/datasets/jmmubasshirrahman/ids2018-balanced-binary-dataset/merged_balanced_ids2018_safe.csv"" df = pd.read_csv(DATA_PATH) print(""Dataset shape:"", df.shape) df.head()",/kaggle/input/datasets/jmmubasshirrahman/ids2018-balanced-binary-dataset/merged_balanced_ids2018_safe.csv,,,2,15,800d5b862f004292cfbeb5396994f3aa3de10e8b55c7ab9ed3d75a05fbe18db4,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
5,24,code,PRECURSOR,precursor,"target_col = ""binary_label"" X = df.drop(columns=[target_col]) y = df[target_col] possible_bad_cols = [ ""Label"", ""Timestamp"", ""Flow ID"", ""Src IP"", ""Dst IP"", ""Src Port"", ""Unnamed: 0"" ] for col in possible_bad_cols: if col in X.columns: X = X.drop(columns=[col]) print(""Dropped:"", col) X = X.apply(pd.to_numeric, errors=""coerce"") X = X.replace([np.inf, -np.inf], np.nan) valid_rows = X.notna().all(axis=1) X = X.loc[valid_rows] y = y.loc[valid_rows] print(""Final X shape:"", X.shape) print(""Final y shape",,,,1,27,dd96064a4fc64cb3fa2f2e61e5b0fc4b0f32358bbd479f8ea1aab1b0c802e138,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
6,25,code,PRECURSOR,precursor,"from sklearn.model_selection import train_test_split from sklearn.preprocessing import StandardScaler X_train, X_test, y_train, y_test = train_test_split( X, y, test_size=0.20, random_state=42, stratify=y ) scaler = StandardScaler() X_train_scaled = scaler.fit_transform(X_train) X_test_scaled = scaler.transform(X_test) X_train_transformer = X_train_scaled.reshape( X_train_scaled.shape[0], X_train_scaled.shape[1], 1 ) X_test_transformer = X_test_scaled.reshape( X_test_scaled.shape[0], X_test_scal",,,,1,32,b5fb1540ab17dfb8ca0757a4d0ed8dcd12d469b9a68126a4366f1e6d118c3d22,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
7,,code,PRECURSOR,superseded,"from sklearn.metrics import accuracy_score, precision_score, recall_score, f1_score, confusion_matrix def evaluate_dl_model(model_name, y_true, y_prob, training_time, threshold=0.50): y_pred = (y_prob >= threshold).astype(int).reshape(-1) acc = accuracy_score(y_true, y_pred) prec = precision_score(y_true, y_pred, zero_division=0) rec = recall_score(y_true, y_pred, zero_division=0) f1 = f1_score(y_true, y_pred, zero_division=0) tn, fp, fn, tp = confusion_matrix(y_true, y_pred).ravel() fpr = fp / ",,,,0,29,87930ae74248181c9ebdb75456f90d4464979c0be8b056d86f23b78a1266a9d9,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
8,,code,PRECURSOR,superseded,"from tensorflow.keras.layers import ( Input, Dense, Dropout, LayerNormalization, MultiHeadAttention, GlobalAveragePooling1D ) from tensorflow.keras.models import Model from tensorflow.keras.optimizers import Adam def transformer_encoder_block(inputs, num_heads=4, key_dim=32, ff_dim=128, dropout_rate=0.2): attention_output = MultiHeadAttention( num_heads=num_heads, key_dim=key_dim )(inputs, inputs) attention_output = Dropout(dropout_rate)(attention_output) x = LayerNormalization(epsilon=1e-6)(inp",,,,0,63,d31f525c92f674767b0c6650f97bda0943990800028acb576cfb229933ecf96b,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
9,,code,PRECURSOR,superseded,"from tensorflow.keras.callbacks import EarlyStopping, ModelCheckpoint, CSVLogger, BackupAndRestore OUTPUT_DIR = ""/kaggle/working"" MODEL_DIR = os.path.join(OUTPUT_DIR, ""models"") RESULTS_DIR = os.path.join(OUTPUT_DIR, ""results"") BACKUP_DIR = os.path.join(OUTPUT_DIR, ""transformer_backup"") os.makedirs(MODEL_DIR, exist_ok=True) os.makedirs(RESULTS_DIR, exist_ok=True) os.makedirs(BACKUP_DIR, exist_ok=True) checkpoint_path = os.path.join(MODEL_DIR, ""transformer_best.keras"") log_path = os.path.join(RESU",,/kaggle/working; transformer_training_log.csv,,0,43,d8ff188c00ee6bf06987da2cac54bcaed90537a4da3e1305a418f564654f8825,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
10,,code,PRECURSOR,superseded,"test_history = transformer_model.fit( X_train_transformer, y_train, validation_split=0.2, epochs=1, batch_size=512, callbacks=callbacks, verbose=1 ) print(""Model saved:"", os.path.exists(checkpoint_path)) print(""Log saved:"", os.path.exists(log_path))",,,,0,12,438b32ae95d03bef56374e34263234bcd77da59710f9239ecbf2d3030eb2fdeb,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
