environment_id,stage_scope,classification,python,packages,hardware,evidence,version_not_proven,notes
ENV001,Stage01,PARTIALLY_PROVEN,NOT_SEPARATELY_RECORDED,"NumPy 2.4.6; pandas 2.3.3; scikit-learn 1.6.1",NOT_APPLICABLE,configs/stage01/protocol.json,NONE_EXPLICIT,"Do not generalize beyond Stage01."
ENV002,Stage02-Stage03,PARTIALLY_PROVEN,NOT_SEPARATELY_RECORDED,"NumPy 2.4.6; pandas 2.3.3; scikit-learn 1.6.1; XGBoost 3.2.0; LightGBM 4.6.0; CatBoost 1.2.10",NOT_APPLICABLE,configs/stage02/protocol.json;configs/stage03/protocol.json,"Joblib; Keras; SciPy; TensorFlow","Classical versions proven; neural stack incomplete."
ENV003,Stage04,PARTIALLY_PROVEN,NOT_SEPARATELY_RECORDED,"NumPy 2.4.6; pandas 2.3.3; scikit-learn 1.6.1",NOT_APPLICABLE,configs/stage04/protocol.json,"Matplotlib; SciPy","Threshold method does not require version inference."
ENV004,Stage05,PARTIALLY_PROVEN,NOT_SEPARATELY_RECORDED,"NumPy 2.4.6; pandas 2.3.3; scikit-learn 1.6.1; XGBoost 3.2.0; LightGBM 4.6.0",NOT_APPLICABLE,configs/stage05/protocol.json,"Joblib; SciPy","Holdout remains closed."
ENV005,Stage06,VERSION_NOT_PROVEN,VERSION_NOT_PROVEN,NONE_PROVEN,NOT_APPLICABLE,configs/stage06/protocol.json,"Joblib; LightGBM; Matplotlib; NumPy; pandas; Python; SciPy; SHAP; XGBoost","No stage-specific runtime receipt."
ENV006,Stage07,VERSION_NOT_PROVEN,VERSION_NOT_PROVEN,NONE_PROVEN,NOT_APPLICABLE,configs/stage07/protocol.json,"Matplotlib; NumPy; pandas; Python; scikit-learn; tar","Archive tooling versions are historical unknowns."
ENV007,Stage08,PROVEN,3.12.13,"NumPy 2.4.6; pandas 2.3.3; scikit-learn 1.6.1; Matplotlib 3.10.0; Joblib 1.5.3","Linux glibc 2.35",Stage08 environment receipt,NONE,"Bootstrap receipt-scoped environment."
ENV008,Stage09,PROVEN,3.12.13,"NumPy 2.4.6; pandas 2.3.3; SciPy 1.16.3; Matplotlib 3.10.0; Joblib 1.5.3","Linux glibc 2.35",Stage09 environment receipt,NONE,"Calibration receipt-scoped environment."
ENV009,Stage10,VERSION_NOT_PROVEN,VERSION_NOT_PROVEN,NONE_PROVEN,NOT_APPLICABLE,configs/stage10/protocol.json,"Matplotlib; NumPy; pandas; Python","No stage-specific runtime receipt."
ENV010,Stage11,VERSION_NOT_PROVEN,VERSION_NOT_PROVEN,NONE_PROVEN,NOT_APPLICABLE,configs/stage11/protocol.json,"Matplotlib; NumPy; pandas; Python; SciPy","No stage-specific runtime receipt."
ENV011,Stage12,PARTIALLY_PROVEN,3.12.13,"NumPy 2.4.6; pandas 2.3.3; scikit-learn 1.6.1; XGBoost 3.2.0; LightGBM 4.6.0","Linux glibc 2.35",Stage12 receipt,"Joblib; Matplotlib; tar","Fixed-hyperparameter stage."
ENV012,Stage13,PARTIALLY_PROVEN,3.12.13,"NumPy 2.4.6; pandas 2.3.3; scikit-learn 1.6.1; XGBoost 3.2.0; LightGBM 4.6.0; LIME 0.2.0.1",NOT_RECORDED,Stage13 LIME receipt,"Matplotlib; SciPy; SHAP","SHAP stack not inferred from other stages."
ENV013,Stage14,PARTIALLY_PROVEN,3.12.13,"TensorFlow 2.19.0; NumPy 2.4.6; pandas 2.3.3",NOT_RECORDED,Stage14 IG receipt,"Joblib; Matplotlib; scikit-learn; standalone Keras","Standalone Keras remains distinct from TensorFlow evidence."
ENV014,Stage15,PROVEN_ISOLATED_GPU,3.12.13,"PyTorch 2.7.1+cu118; NumPy 2.4.6; pandas 2.3.3; scikit-learn 1.6.1","Tesla P100-PCIE-16GB; CUDA 11.8; sm_60",Stage15 preholdout/runtime receipts,NONE,"Canonical Stage15 training runtime."
ENV015,Stage15,SUPERSEDED_INCOMPATIBLE,NOT_RECORDED,PyTorch 2.10.0+cu128,"Tesla P100; required sm_60 absent",Stage15 superseded readiness receipt,NONE,"Not the accepted Stage15 training runtime."
ENV016,Stage16,VERSION_NOT_PROVEN,VERSION_NOT_PROVEN,NONE_PROVEN,NOT_RECORDED,configs/stage16/protocol.json,"CatBoost; Joblib; LightGBM; NumPy; pandas; Python; scikit-learn; XGBoost","Do not inherit Stage15 or Stage18."
ENV017,Stage17,VERSION_NOT_PROVEN,VERSION_NOT_PROVEN,NONE_PROVEN,NOT_RECORDED,configs/stage17/protocol.json,"Matplotlib; NumPy; pandas; Python; PyTorch; SciPy","Do not infer checkpoint runtime."
ENV018,Stage18,PARTIALLY_PROVEN_REPAIRED,VERSION_NOT_PROVEN_PATCH,"PyTorch 2.10.0+cu126; NumPy 2.4.6; pandas 2.3.3; scikit-learn 1.6.1","Tesla P100-PCIE-16GB; sm_60",Stage18 repair/preprocessing receipts,"Matplotlib; Python patch version; SciPy","Initial cu128 runtime was incompatible."
ENV019,Stage19,PARTIALLY_PROVEN,3.12.13,PyTorch 2.10.0+cu126,"Tesla P100-PCIE-16GB; CUDA 12.6; sm_60",Stage19 kernel-probe receipt,"NumPy; pandas; scikit-learn; SciPy","Separate from Stage18 despite related hardware."
ENV020,Stage20-C1-C16,VERSION_NOT_PROVEN,VERSION_NOT_PROVEN,NONE_PROVEN,HISTORICAL_FORENSICS,Stage20 forensic receipts,"Java; jNetPcap; Python; Scapy","Early forensic sessions only."
ENV021,Stage20-1E1,PARTIALLY_PROVEN,NOT_RECORDED,Scapy 2.6.1,COMPACT_CORPUS_DECODER,Stage20 compact-corpus manifests,NONE_EXPLICIT,"Decoder evidence only."
ENV022,Stage20-1E2-1E3,PROVEN_GPU,3.12.13,"PyTorch 2.10.0+cu126; NumPy 2.4.6; cuDNN 9.1.0.2","Tesla P100-PCIE-16GB; CUDA 12.6; sm_60",Stage20 isolated training/Thursday receipts,NONE,"Do not merge with Stage15 P100."
