gap_id,pass1_gap_id,manuscript_location,exact_claim_needing_support,why_external_support_is_required,required_source_type,preferred_venue_type,preferred_date_range,required_evidence,what_the_reference_must_NOT_be_used_to_claim,search_terms
RG-001,REF-GAP-001,"2.1 paragraph 1","CICIDS-family datasets have supported comparisons across classical learners gradient-boosted trees neural networks and hybrid architectures; the processed CSE-CIC-IDS2018 condition must also be grounded in its official dataset provenance.","Dataset origin and the existence/scope of prior benchmark modeling are external historical facts not established by this project's frozen results.","Original CSE-CIC-IDS2018 associated paper plus official dataset documentation; a peer-reviewed benchmark study or bounded review only if needed for model-class context","IEEE/ACM/Springer/Elsevier peer-reviewed venue plus official Canadian Institute for Cybersecurity source","2017-2026; original dataset-era sources preferred","Exact dataset name source institution collection purpose attack-scenario context flow extraction description and direct evidence that cited benchmark work evaluated the stated model class on the named data","That benchmark results establish operational portability; that the dataset is natural prevalence; that all listed model classes were evaluated by one source; that later documentation overwrites original provenance","CSE-CIC-IDS2018 original paper dataset CICFlowMeter benchmark machine learning deep learning"
RG-002,REF-GAP-002,"2.1 paragraph 2","Processed or rebalanced benchmark populations can support controlled comparison but alter class priors and do not recreate live temporal or organizational deployment structure.","The distinction between experimental class balancing and external/deployment validity is methodological context beyond this project's internal evidence.","Peer-reviewed methodological or empirical IDS evaluation study directly analyzing class imbalance benchmark construction prevalence or external validity","IEEE/ACM/USENIX/RAID/NDSS/Springer/Elsevier/Wiley peer-reviewed venue","2010-2026; prefer 2015-2026","Direct analysis showing how resampling or benchmark construction changes class distribution and/or how evaluation population differs from deployment conditions; preferably IDS-specific","That all balancing is invalid; that balanced training necessarily harms performance; that a single prevalence represents every deployment; that this project's observed result was caused by rebalancing","intrusion detection class imbalance resampling evaluation external validity benchmark prevalence"
RG-003,REF-GAP-003,"2.2 paragraph 1","Random flow-level partitioning can yield optimistic or otherwise different estimates when samples share temporal session duplicate or source dependencies; chronological or session-aware evaluation changes the validation geometry and may also change prevalence or attack-family composition.","This is a literature-dependent evaluation claim about dependence leakage and temporal validation outside the frozen project evidence.","Primary peer-reviewed empirical or methodological IDS paper directly comparing split strategies or measuring temporal session duplicate dependence","USENIX/RAID/NDSS/IEEE/ACM/Springer/Elsevier peer-reviewed security or ML evaluation venue","2010-2026; prefer 2015-2026","Explicit random-versus-temporal/session/grouped comparison or quantified duplicate/dependence leakage with protocol details and direction of effect","That every random-split paper is invalid; that chronological evaluation is always superior; that any difference proves concept drift; that the cited paper explains this project's temporal result","network intrusion detection random split temporal split session-aware duplicate leakage chronological evaluation"
RG-004,REF-GAP-004,"2.2 paragraph 2","IDS models may exploit dataset- or collection-specific shortcuts; removing a feature demonstrates intervention sensitivity but does not alone prove leakage or causation, and placebo/control analyses are needed for stronger interpretation.","Shortcut learning leakage and causal interpretation are general methodological concepts requiring external grounding.","Primary peer-reviewed IDS leakage/spurious-feature study plus original or high-quality methodological shortcut/ablation source when IDS evidence does not cover causal interpretation","IEEE/ACM/USENIX/RAID/NDSS/Springer/Elsevier peer-reviewed security or ML venue","2010-2026; prefer 2018-2026 for shortcut terminology","Direct evidence of non-transportable or spurious IDS predictors and methodological evidence distinguishing predictive sensitivity from causal identification; support for controls/placebos if available","That the specific features in this project are proven leakage; that shortcuts cause all cross-dataset failure; that any ablation improvement identifies a causal mechanism","intrusion detection data leakage shortcut learning spurious features ports timestamps ablation placebo causal"
RG-005,REF-GAP-005,"2.2 paragraph 3","LIME and TreeSHAP are distinct local explanation approaches; explanation stability does not by itself establish local fidelity, so fidelity and stability require separate assessment.","Method identities and known explanation-quality distinctions are external methodological facts.","Original peer-reviewed LIME paper; original peer-reviewed SHAP/TreeSHAP paper; peer-reviewed empirical evaluation of explanation fidelity/stability","ACM/NeurIPS/JMLR/AAAI/AISTATS/IEEE or comparable peer-reviewed ML venue","2016-2026; original method papers required","Definitions and guarantees of LIME and SHAP/TreeSHAP plus direct empirical or methodological evidence that stability and fidelity are distinct evaluation dimensions","That TreeSHAP and LIME answer identical questions; that stability proves faithfulness; that this project's fidelity failures generalize to every use of LIME","LIME original paper local interpretable model agnostic explanations SHAP TreeSHAP fidelity stability evaluation"
RG-006,REF-GAP-006,"2.3 paragraph 1","Cross-dataset IDS transfer depends on source-target direction feature compatibility preprocessing label mapping prevalence and dataset composition; one direction should not be treated as a universal or symmetric transfer property.","Prior cross-dataset methodology and observed direction/domain sensitivity are external literature context.","Primary peer-reviewed cross-dataset IDS evaluation with explicit source/target datasets and feature alignment; review only for bounded context","IEEE/ACM/USENIX/RAID/NDSS/Springer/Elsevier peer-reviewed security venue","2010-2026; prefer 2015-2026","Named train/test directions metrics feature-intersection or semantic-alignment method label mapping and evidence that performance varies across datasets or directions","That all IDS models fail cross-dataset; that forward and reverse directions are commensurable; that one cited bridge validates this project's bridge; that asymmetry has one known cause","cross dataset intrusion detection generalization transfer CICIDS2017 CSE-CIC-IDS2018 feature alignment bidirectional"
RG-007,REF-GAP-007,"2.3 paragraph 2","At low attack prevalence benchmark sensitivity and specificity do not by themselves determine PPV false-alert burden workload or cost; prior-shift translations are analytic decision aids rather than field observations.","The base-rate effect and operational decision implications are established outside this project's frozen projections.","Foundational peer-reviewed intrusion-detection base-rate paper plus peer-reviewed operational/cost-sensitive evaluation or authoritative statistical source","IEEE Symposium on Security and Privacy/ACM/USENIX/RAID/NDSS or comparable peer-reviewed venue","1990-2026; foundational sources allowed and recent operational work preferred","Formal or empirical connection among prevalence TPR FPR PPV false alerts and operational burden; explicit distinction between projected and observed operations","That any one prevalence is universal; that high PPV guarantees manageable workload; that projections are observed SOC performance; that low-prevalence IDS is always useless","intrusion detection base rate fallacy PPV false alerts analyst workload cost sensitive evaluation"
RG-008,REF-GAP-008,"2.4 paragraph 1","Deployability depends on latency throughput memory artifact size preprocessing boundary batch size backend compatibility hardware and software; measured performance must retain those boundaries.","These are systems-evaluation and reporting principles external to the project's hardware-specific measurements.","Primary peer-reviewed ML/IDS systems evaluation or authoritative benchmarking/reporting standard addressing measurement boundaries and hardware/software context","ACM/USENIX/IEEE systems or security venue; MLPerf or standards source when appropriate","2015-2026","Explicit reporting of hardware software batch size component boundary latency/throughput methodology and cautions about generalizing benchmark measurements","That this project's timing is end-to-end; that GPU or CPU is universally faster; that a standard's benchmark numbers apply to this system; that unsupported paths have measured latency","intrusion detection inference latency throughput deployment profiling hardware batch size ML systems benchmarking reporting"
RG-009,REF-GAP-009,"2.4 paragraph 2","Leave-one-attack-family-out evaluation is a controlled novelty analogue whose conclusions depend on zero family exposure eligibility support learner and metric; it cannot establish detection of arbitrary future or zero-day attacks.","The relation among LOAO open-set novelty and zero-day terminology is literature-dependent methodological context.","Primary peer-reviewed IDS unseen-family/open-set/novelty study with explicit held-out-family protocol; original open-set method source if required","IEEE/ACM/USENIX/RAID/NDSS/Springer/Elsevier peer-reviewed security or ML venue","2010-2026; prefer 2015-2026","Exact training-exposure rule family split support metric threshold treatment and stated scope; evidence distinguishing bounded held-out classes from arbitrary future attacks","Universal zero-day detection; equivalence between LOAO and live zero-day attacks; pooling ineligible or low-support families; one aggregate zero-day score","leave one attack family out intrusion detection unseen attack open set novelty zero day evaluation"
RG-010,REF-GAP-010,"2.4 paragraph 3","Reproducible ML and cybersecurity evaluation requires more than code availability: data provenance environments protocols target governance and researcher adaptation/repeated-holdout risks affect what can be reproduced or inferred.","These are external methodological and reproducibility principles not created by this repository.","Authoritative peer-reviewed reproducibility guideline or systematic study plus primary methodological source on adaptive/repeated holdout when that clause is retained","NeurIPS/JMLR/ACM/IEEE/USENIX or standards/institutional guidance","2010-2026; foundational adaptive-analysis sources allowed","Explicit distinction among code data environment and result reproducibility; evidence on provenance/version capture; direct methodological support for adaptive or repeated holdout risk","That publishing code guarantees reproduction; that this repository is fully rerunnable; that all repeated evaluation is invalid; that literature guidance independently validates this project's results","machine learning reproducibility code data environment provenance repeated holdout adaptive data analysis cybersecurity evaluation"
