claim_id,evidence_ids,figure,table,manuscript_section,supplement_reference,limitation_ids
"CLM29-001","E29-004;E29-005;E29-006;E29-007","","T29-01_REFERENCE_BENCHMARK","Results: benchmark reference","T29-S01_SPLIT_MEMBERSHIP","LIM29-001;LIM29-002;LIM29-010;LIM29-014"
"CLM29-002","E29-009","","T29-01_REFERENCE_BENCHMARK","Results: benchmark reference","T29-S02_UNCERTAINTY","LIM29-002;LIM29-008;LIM29-010;LIM29-014"
"CLM29-003","E29-011","","T29-01_REFERENCE_BENCHMARK","Results: benchmark reference","T29-S03_CALIBRATION","LIM29-002;LIM29-008;LIM29-010;LIM29-014"
"CLM29-004","E29-015","","","Discussion: explanation validity","T29-S05_LIME_RELIABILITY","LIM29-001;LIM29-010;LIM29-014;LIM29-015"
"CLM29-005","E29-016","","","Methods/Results: temporal validity","Stage18 temporal feasibility package","LIM29-003;LIM29-010;LIM29-014;LIM29-015"
"CLM29-006","E29-018","fig18_1_graph_ranking_vs_frozen_operating_point","","Supplement: representation diagnostics","Stage18 graph manuscript integration","LIM29-016"
"CLM29-007","E29-019","fig21_1_cnn_vit_ranking_comparison","","Supplement: architecture chronology","Stage21 publication figures","LIM29-010;LIM29-014;LIM29-017"
"CLM29-008","E29-020;E29-037;E29-038","fig22r_1_validation_to_final_pr_auc;fig22r_2_validation_to_final_roc_auc","T29-03_TEMPORAL_FIVE_SEED","Results: temporal validity","T29-S26_STAGE28_SEED_LEVEL","LIM29-001;LIM29-003;LIM29-009;LIM29-014;LIM29-018"
"CLM29-009","E29-021","fig22r_3_final_frozen_operating_points","T29-03_TEMPORAL_FIVE_SEED","Results: temporal validity","Stage22R full operating-point tables","LIM29-001;LIM29-003;LIM29-014;LIM29-018"
"CLM29-010","E29-022;E29-023","figure_23_a_subset_split_interaction","","Results: shortcut sensitivity","T29-S06_STAGE23_PRIMARY_SUBSETS;T29-S07_STAGE23_INTERACTIONS;T29-S08_STAGE23_STUMPS;T29-S09_STAGE23_SHAP_PROXY;T29-S10_STAGE23_FAMILY_SUPPORT;T29-S11_STAGE23_PLACEBO_SUBSETS","LIM29-001;LIM29-003;LIM29-008;LIM29-014"
"CLM29-011","E29-024;E29-025","fig24_1_normalized_pr_auc_directionality;fig24_2_roc_auc_directionality","T29-04_BIDIRECTIONAL_TRANSFER","Results: cross-dataset validity","T29-S12_STAGE24_PAIRED_EFFECTS;T29-S13_STAGE24_THRESHOLD_TRANSFER;T29-S14_STAGE24_GOVERNANCE","LIM29-001;LIM29-004;LIM29-005;LIM29-008;LIM29-014"
"CLM29-012","E29-027","","T29-S14_STAGE24_GOVERNANCE","Limitations and supplement","Stage24 cancellation receipt","LIM29-004;LIM29-005;LIM29-014"
"CLM29-013","E29-028;E29-029;E29-030;E29-031","figure25_a_ppv_cliff","T29-05_OPERATIONAL_TRANSLATION","Results: operational validity","T29-S15_STAGE25_ALL_POINTS;T29-S16_STAGE25_BREAK_EVEN;T29-S17_STAGE25_COST_DECISIONS;T29-S18_STAGE25_SANITY","LIM29-001;LIM29-004;LIM29-005;LIM29-012;LIM29-013;LIM29-014"
"CLM29-014","E29-032;E29-033","F26_CPU1_GPU_P95_SPEEDUP","","Results: deployment profiling","T29-S19_STAGE26_BATCH1;T29-S20_STAGE26_MATCHED;T29-S21_STAGE26_BACKENDS;T29-S22_STAGE26_COMPONENTS;T29-S23_STAGE26_CPU_WARM;T29-S24_STAGE26_MEMORY;T29-M02_STAGE26_PARETO","LIM29-011;LIM29-014"
"CLM29-015","E29-034;E29-035;E29-036;E29-039","stage27_primary_roc_auc_ci;stage27_balanced_recall_ci","T29-06_LOAO_STABILITY","Results: unseen-family validity","T29-S25_STAGE27_PRIMARY;T29-S27_STAGE28_LOAO_KEY_METRICS","LIM29-001;LIM29-003;LIM29-006;LIM29-007;LIM29-009;LIM29-014"
"CLM29-016","E29-040","","T29-02_VALIDITY_AXIS_MATRIX","Discussion: mechanism limits","Stage28 random LOAO control tables","LIM29-003;LIM29-009;LIM29-014"
