map_id,manuscript_subsection,stage29_artifacts,historical_stages,frozen_results,figures_tables,reproduction_index_entries
MSM-001,Abstract,"claims/final_claim_registry.csv; evidence/final_manuscript_numbers.csv; evidence/master_evidence_matrix.csv","Stage05;Stage22;Stage24;Stage25;Stage27;Stage28","E29-006;E29-020;E29-021;E29-024;E29-025;E29-028;E29-029;E29-034;E29-037;E29-038;E29-040","T29-01;T29-03;T29-04;T29-05;T29-06","C22-003;C22-009;C24-001..C24-012;C25-001..C25-005;C27-001..C27-005;C28-001..C28-005"
MSM-002,"1. Introduction","claims/final_claim_registry.csv; manuscript/proposed_structure.md; manuscript/prohibited_formulations.md","Stage01-Stage28","E29-001..E29-040","T29-02_VALIDITY_AXIS_MATRIX","C22-001..C28-005; pre-Stage22 sources traced by Stage29 equivalence and evidence matrices"
MSM-003,"2. Related Work","manuscript/proposed_structure.md; manuscript/prohibited_formulations.md","NOT_APPLICABLE_LITERATURE_SYNTHESIS","No empirical result cited; REFERENCE GAP markers retained","NONE","NOT_APPLICABLE_PASS1_NO_EXTERNAL_REFERENCE_VERIFICATION"
MSM-004,"2.1 Benchmark-based intrusion detection","manuscript/proposed_structure.md; manuscript/prohibited_formulations.md","NOT_APPLICABLE_LITERATURE_SYNTHESIS","REFERENCE GAP: dataset benchmark modeling class balance and external validity","NONE","NOT_APPLICABLE_PASS1_NO_EXTERNAL_REFERENCE_VERIFICATION"
MSM-005,"2.2 Split temporal and shortcut validity","manuscript/proposed_structure.md; manuscript/prohibited_formulations.md","NOT_APPLICABLE_LITERATURE_SYNTHESIS","REFERENCE GAP: temporal leakage shortcut LIME and TreeSHAP literature","NONE","NOT_APPLICABLE_PASS1_NO_EXTERNAL_REFERENCE_VERIFICATION"
MSM-006,"2.3 Cross-dataset and operational evaluation","manuscript/proposed_structure.md; manuscript/prohibited_formulations.md","NOT_APPLICABLE_LITERATURE_SYNTHESIS","REFERENCE GAP: transfer base-rate workload and cost literature","NONE","NOT_APPLICABLE_PASS1_NO_EXTERNAL_REFERENCE_VERIFICATION"
MSM-007,"2.4 Deployment novelty and reproducibility","manuscript/proposed_structure.md; manuscript/prohibited_formulations.md","NOT_APPLICABLE_LITERATURE_SYNTHESIS","REFERENCE GAP: profiling LOAO open-set and reproducibility literature","NONE","NOT_APPLICABLE_PASS1_NO_EXTERNAL_REFERENCE_VERIFICATION"
MSM-008,"3. Datasets and Provenance","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; manuscript/limitations_matrix.csv","Stage01;Stage18;Stage20;Stage22;Stage24;Stage27;Stage28","E29-001;E29-016;E29-020;E29-024;E29-025;E29-027;E29-034;E29-036;E29-039","T29-S01;T29-S10;T29-S14;T29-S25;T29-S27","C22-001;C24-001;C24-010..C24-012;C27-001..C27-005;C28-003..C28-005; pre-Stage22 via Stage29 matrices"
MSM-009,"3.1 CSE-CIC-IDS2018 reference and source-faithful roles","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; manuscript/limitations_matrix.csv","Stage01;Stage18;Stage22","E29-001;E29-016;E29-020","T29-S01_SPLIT_MEMBERSHIP","C22-001; pre-Stage22 via Stage29 matrices"
MSM-010,"3.2 CICIDS2017 cross-dataset role","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; manuscript/limitations_matrix.csv","Stage20;Stage24","E29-024;E29-025;E29-026;E29-027","T29-04;T29-S12;T29-S13;T29-S14","C24-001..C24-012; pre-Stage22 provenance via Stage29 matrices"
MSM-011,"3.3 Attack-family mapping and evaluation populations","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; manuscript/limitations_matrix.csv","Stage11;Stage27;Stage28","E29-013;E29-034;E29-035;E29-036;E29-039","T29-06;T29-S25;T29-S27","C27-001..C27-005;C28-003..C28-005; pre-Stage22 via Stage29 matrices"
MSM-012,"3.4 Provenance states and target governance","evidence/master_evidence_matrix.csv; provenance/stage29_source_inventory.csv; provenance/stage29_artifact_hash_inventory.csv","Stage01-Stage28","All Stage29 evidence rows as provenance metadata","T29-S28_REPRODUCIBILITY_STATUS","C22-001..C28-005; pre-Stage22 via Stage29 equivalence matrix"
MSM-013,"4. Validation Framework and Methods","evidence/master_evidence_matrix.csv; claims/final_claim_registry.csv; manuscript/claim_figure_table_graph.csv","Stage01-Stage28","E29-001..E29-040","T29-02_VALIDITY_AXIS_MATRIX","C22-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-014,"4.1 Reference Evaluation and Governance","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; claims/final_claim_registry.csv","Stage01-Stage10","E29-001..E29-012","T29-01;T29-S01;T29-S02;T29-S03","Pre-Stage22: traced through Stage29 evidence equivalence and environment matrices"
