source_id,stage,source_artifact,artifact_type,evidence_ids,authority,immutability,residual_note
"S29-001","Stage01-Stage12","docs/RESULTS_SUMMARY.md","frozen summary","E29-001;E29-003;E29-004;E29-005;E29-006;E29-007","authoritative repository summary","read_only_in_stage29","Numbers are traced onward to stage result roots and archived notebook cells"
"S29-002","Stage02","metadata/baseline_model_configurations.json","frozen configuration inventory","E29-002","authoritative extracted metadata","read_only_in_stage29","Constructor/fitting equivalence is limited by unavailable dependencies"
"S29-003","Stage06","docs/RESULTS_SUMMARY.md","frozen summary","E29-008","authoritative repository summary","read_only_in_stage29","Historical SHAP arrays are not reopened"
"S29-004","Stage08","docs/STATISTICAL_CONFIDENCE.md","frozen analysis summary","E29-009;E29-010","authoritative frozen documentation","read_only_in_stage29","Conditional historical bootstrap only"
"S29-005","Stage09","docs/CALIBRATION_ASSESSMENT.md","frozen analysis summary","E29-011","authoritative frozen documentation","read_only_in_stage29","No calibration recomputation"
"S29-006","Stage10","docs/OPERATIONAL_COST_ANALYSIS.md","frozen analysis summary","E29-012","authoritative frozen documentation","read_only_in_stage29","Relative costs are scenario assumptions"
"S29-007","Stage11","docs/ATTACK_CATEGORY_ANALYSIS.md","frozen analysis summary","E29-013","authoritative frozen documentation","read_only_in_stage29","Category supports differ sharply"
"S29-008","Stage12","docs/MULTISEED_ROBUSTNESS.md","frozen analysis summary","E29-014","authoritative frozen documentation","read_only_in_stage29","Full HPO was not repeated per seed"
"S29-009","Stage13","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","stage synthesis","E29-015","authoritative manuscript integration","read_only_in_stage29","Deterministic 64-case panel"
"S29-010","Stage18","results/stage18_representation_feasibility_checkpoint/stage18_1_temporal_feasibility_package/stage18_1_temporal_feasibility_closure.json","frozen result JSON","E29-016","authoritative frozen result","read_only_in_stage29","Temporal provenance incomplete"
"S29-011","Stage18","results/stage18_representation_feasibility_checkpoint/stage18_2_vit_feasibility_package/stage18_2_vit_feasibility_closure.json","frozen result JSON","E29-017","authoritative frozen result","read_only_in_stage29","Feasibility result only; no model performance"
"S29-012","Stage18","docs/STAGE18_MANUSCRIPT_INTEGRATION.md","stage synthesis","E29-018","authoritative manuscript integration","read_only_in_stage29","Graph evidence is source-restricted"
"S29-013","Stage21","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","frozen result JSON","E29-019","authoritative frozen result","read_only_in_stage29","Descriptive single comparison"
"S29-014","Stage22","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","frozen final-holdout receipt","E29-020","authoritative frozen result","read_only_in_stage29","Final holdout remains closed"
"S29-015","Stage22","docs/STAGE22R_MANUSCRIPT_INTEGRATION.md","stage synthesis","E29-021","authoritative manuscript integration","read_only_in_stage29","No post-holdout adaptation"
"S29-016","Stage23","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/stage23_7_final_scientific_synthesis.md","frozen synthesis JSON","E29-022","authoritative frozen synthesis","read_only_in_stage29","No feature matrices reopened"
"S29-017","Stage23","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/manuscript/stage23_results_integration.tex","stage synthesis","E29-023","authoritative manuscript integration","read_only_in_stage29","Causal mechanism remains unresolved"
"S29-018","Stage24","results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json","frozen transfer summary","E29-024;E29-025","authoritative frozen result","read_only_in_stage29","Transfer directions remain separate"
"S29-019","Stage24","results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json","frozen sensitivity summary","E29-026","authoritative frozen result","read_only_in_stage29","Intervals are conditional"
"S29-020","Stage24","docs/STAGE24_PUBLICATION_CLOSEOUT.md","publication closeout","E29-027","authoritative governance record","read_only_in_stage29","Cancelled cells have no result"
"S29-021","Stage25","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","stage synthesis","E29-028;E29-029","authoritative manuscript integration","read_only_in_stage29","Prior-shift projections are assumption-bound"
"S29-022","Stage25","docs/STAGE25_PUBLICATION_TABLES.md","publication tables","E29-030;E29-031","authoritative frozen table","read_only_in_stage29","Scenario values are not field observations"
"S29-023","Stage26","docs/STAGE26_MANUSCRIPT_INTEGRATION.md","stage synthesis","E29-032","authoritative manuscript integration","read_only_in_stage29","Hardware/software-specific"
"S29-024","Stage26","docs/STAGE26_PUBLICATION_CLOSEOUT.md","publication closeout","E29-033","authoritative governance record","read_only_in_stage29","Unsupported backends remain unevaluated"
"S29-025","Stage27","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","stage synthesis","E29-034;E29-036","authoritative manuscript integration","read_only_in_stage29","Eligible-family scope only"
"S29-026","Stage27","docs/STAGE27_PUBLICATION_TABLES.md","publication tables","E29-035","authoritative frozen table","read_only_in_stage29","Infiltration support is 36"
"S29-027","Stage28","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","final empirical synthesis","E29-037;E29-038;E29-039;E29-040;E29-041","authoritative final empirical artifact","read_only_in_stage29","Stage28 is the final empirical wall"
"S29-028","Stage01-Stage28","docs/reproducibility/MANUSCRIPT_CRITICAL_TRACEABILITY.csv","traceability registry","E29-001;E29-002;E29-003;E29-004;E29-005;E29-006;E29-007;E29-008;E29-009;E29-010;E29-011;E29-012;E29-013;E29-014;E29-015;E29-016;E29-017;E29-018;E29-019;E29-020;E29-021;E29-022;E29-023;E29-024;E29-025;E29-026;E29-027;E29-028;E29-029;E29-030;E29-031;E29-032;E29-033;E29-034;E29-035;E29-036;E29-037;E29-038;E29-039;E29-040;E29-041","repository-wide accepted traceability","read_only_in_stage29","Especially detailed for Stages22-28"
"S29-029","Stage01-Stage28","docs/reproducibility/EQUIVALENCE_MATRIX.csv","equivalence registry","all","repository-wide accepted equivalence evidence","read_only_in_stage29","Equivalence levels remain heterogeneous"
"S29-030","Stage01-Stage28","docs/reproducibility/STAGE_REPRODUCIBILITY_STATUS.csv","reproducibility registry","all","repository-wide accepted classification","read_only_in_stage29","Full rerun reproducibility is not claimed"
