claim_id,stage,claim_summary,metric,frozen_value_or_artifact,source_result,source_code,source_config,source_commit,equivalence_level,inferential_status,residual_limitation
C22-001,Stage22,Four development cells preserve random/chronological and natural/rebalanced memberships,train_validation_rows_attack_benign,stage22r_1b1_membership_summary.json,results/stage22r_protocol_recovery/stage22r_1b1_development_memberships/stage22r_1b1_membership_summary.json,notebooks/archive/stage21_stage22_research_continues.ipynb:118-119,configs/stage22/protocol.json,0f4bc7d7c49f31d511bb777899dc0315806f734d,B,FROZEN_DEVELOPMENT_EVIDENCE,Membership bitsets are not loaded by the safe interface
C22-002,Stage22,Development validation performance remains distinct from forward final-holdout performance,validation_PR_AUC_ROC_AUC_and_thresholds,four Stage22R development result JSON files,results/stage22r_training/stage22r_2a_random_natural; results/stage22r_training/stage22r_2b_random_rebalanced; results/stage22r_training/stage22r_2c_chronological_natural; results/stage22r_training/stage22r_2d_chronological_rebalanced,notebooks/archive/stage21_stage22_research_continues.ipynb:121-131,configs/stage22/protocol.json,2802766bd62afe2219c5608d083e9ea9a570bc7a,B,FROZEN_DEVELOPMENT_EVIDENCE,No threshold sweep or model inference is rerun
C22-003,Stage22,All four cells share one forward final-holdout population,rows_attack_benign_prevalence,"1374133;375345;998788;0.2731504155711274",results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,notebooks/archive/stage21_stage22_research_continues.ipynb:133-136,configs/stage22/protocol.json,0bf5b9652ee918cad673af4a33597ad143edd113,B,FROZEN_FINAL_HOLDOUT_EVIDENCE,Holdout is permanently closed and not reopened for verification
C22-004,Stage22,Random-natural forward transfer is weak,final_PR_AUC_and_ROC_AUC,"0.26295321962777995;0.5204903284767843",results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,notebooks/archive/stage21_stage22_research_continues.ipynb:135,configs/stage22/protocol.json,0bf5b9652ee918cad673af4a33597ad143edd113,B,FROZEN_FINAL_HOLDOUT_EVIDENCE,Single frozen seed42 result in Stage22R
C22-005,Stage22,Random-rebalanced forward transfer is weak,final_PR_AUC_and_ROC_AUC,"0.273297716217507;0.5419818375800015",results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,notebooks/archive/stage21_stage22_research_continues.ipynb:135,configs/stage22/protocol.json,0bf5b9652ee918cad673af4a33597ad143edd113,B,FROZEN_FINAL_HOLDOUT_EVIDENCE,Single frozen seed42 result in Stage22R
C22-006,Stage22,Chronological-natural improves forward transfer,final_PR_AUC_and_ROC_AUC,"0.6107344875615713;0.8064180161824033",results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,notebooks/archive/stage21_stage22_research_continues.ipynb:135,configs/stage22/protocol.json,0bf5b9652ee918cad673af4a33597ad143edd113,B,FROZEN_FINAL_HOLDOUT_EVIDENCE,Single frozen seed42 result in Stage22R
C22-007,Stage22,Chronological-rebalanced has the strongest frozen forward result,final_PR_AUC_and_ROC_AUC,"0.6926302657182113;0.8321639645817649",results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,notebooks/archive/stage21_stage22_research_continues.ipynb:135,configs/stage22/protocol.json,0bf5b9652ee918cad673af4a33597ad143edd113,B,FROZEN_FINAL_HOLDOUT_EVIDENCE,Comparison is within the single shared frozen holdout
C22-008,Stage22,No post-holdout adaptation occurred,model_threshold_calibration_changes,"false;false;false",results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,src/ids_validation/stages/stage22/registry.py,configs/stage22/protocol.json,b5e44615269198426cc8a9aa3b3e701c2ca9e48e,B,GOVERNANCE_FACT,Verified from frozen receipt metadata only
C22-009,Stage22,Later Stage28 five-seed linkage reuses the Stage22R holdout geometry,new_untouched_holdout_claim,false,results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_stage22_shared_holdout_five_seed_summary.csv,src/ids_validation/stages/stage22/registry.py,configs/stage22/protocol.json,b5e44615269198426cc8a9aa3b3e701c2ca9e48e,B,PROVENANCE_LINKAGE,Does not create a new untouched holdout claim
C23-001,Stage23,Seven frozen primary feature subsets define the shortcut audit,subset_count_and_feature_counts,"7;70;69;68;69;69;67;63",results/stage23_shortcut_feature_audit/stage23_0_protocol_lock/feature_subset_spec.json,scripts/stage23_shortcut_feature_audit_kaggle.py,configs/stage23/protocol.json,2c36cb669aa1efcd6ca15dfaddecdd0d6fbbb460,B,FROZEN_PROTOCOL_EVIDENCE,Feature matrices are not rematerialized
C23-002,Stage23,NO_PORTS removes Dst Port and Protocol but not Src Port,removed_features,"Dst Port;Protocol",results/stage23_shortcut_feature_audit/stage23_0_protocol_lock/feature_subset_spec.json,src/ids_validation/stages/stage23/registry.py,configs/stage23/protocol.json,2c36cb669aa1efcd6ca15dfaddecdd0d6fbbb460,B,TERMINOLOGY_BOUNDARY,Src Port is absent from the frozen 70-feature space
C23-003,Stage23,The complete Stage23 fit budget is sealed,model_fits,"24 primary boosted + 20 placebo boosted + 6 stumps = 50/50",results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/stage23_final_closure_receipt.json,scripts/stage23_shortcut_feature_audit_kaggle.py,configs/stage23/protocol.json,f9661acf152d6f1c5dd12de2d0f94f21e68d7170,B,GOVERNANCE_FACT,No additional fits are authorized
C23-004,Stage23,Five matched-size placebo subsets are evaluated under both splits,placebo_split_results,"5 subsets;10 split results;20 component fits",results/stage23_shortcut_feature_audit/stage23_2_placebo_ablation,scripts/stage23_shortcut_feature_audit_kaggle.py,configs/stage23/protocol.json,eca21e3f6a918d59c64af92eb701361dde91ada7,B,FROZEN_CONTROL_EVIDENCE,Placebo models and probabilities are not loaded
C23-005,Stage23,Three single-feature stump controls are evaluated under both splits,stump_fits,"Dst Port;Init Fwd Win Byts;Fwd Seg Size Min;6 fits",results/stage23_shortcut_feature_audit/stage23_3_stump_controls/stage23_3_stump_controls_summary.json,scripts/stage23_shortcut_feature_audit_kaggle.py,configs/stage23/protocol.json,f2cd2b59172179f9f0884d88e579276517de7a01,B,FROZEN_CONTROL_EVIDENCE,Stump artifacts are not deserialized
