gap_id,stage_scope,missing_or_incomplete_capability,evidence,risk,equivalence_ceiling,planned_resolution
G001,Repository-wide,"Dedicated source package configs tests and stage entrypoints were absent at audit start.",Repository tree at ca538faa4d39ef7f8921d98399c261944c905f28,MAINTAINABILITY,D,"Provenance-first skeleton and the approved Stage01-15 block were added; later blocks await approval."
G002,Stage01-Stage20,"Complete authoritative notebook was not tracked in the repository.",User-supplied SHA256 147760f81f5db581c2cbc92b3c7c24060b823dfa50ac9d9a2156eb132b51b3ce,ARCHIVAL,A,"Archive byte-for-byte and verify SHA256."
G003,Stage01-Stage05,"No standalone executable methodology existed before this phase.",Authoritative physical cells 93-107,EXECUTABILITY,B,"Faithful modules configs and dry-run/verify-only wrappers were added without scientific execution; full rerun equivalence remains unproven."
G004,Stage01,"Frozen split arrays and metadata exist but source-dataset availability is external.",metadata/split_indices.npz and metadata/split_metadata.json,DATA_ACCESS,B,"Verify static memberships metadata and feature signature; reproduction from raw data requires user-provided dataset."
G005,Stage02,"Serialized baseline artifacts are incomplete relative to the complete historical 16-model inventory.",results/baseline metadata and notebook cells 94-95,ARTIFACT_COVERAGE,D,"Preserve constructors/configs and report unavailable exact model bytes honestly."
G006,Stage03,"Search results and final models exist but executing HPO is prohibited in this phase.",results/tuning models and notebook cells 96-101,VALIDATION_ONLY,D,"Verify candidate counts parameter provenance and artifact presence only."
G007,Stage04,"Frozen threshold tables exist; byte hashes are line-ending-sensitive on Windows.",results/threshold and core.autocrlf=true,PORTABILITY,B,"Compare parsed static values and record Git-blob identity separately from checkout bytes."
G008,Stage05,"Holdout has historically been opened and must not be reopened for extraction verification.",results/holdout and cells 105/107,SCIENTIFIC_GOVERNANCE,D,"Verify only frozen files configuration and already-recorded metrics; never call model inference."
G009,Stage11-Stage14,"Methodology is extracted but scientific numerical regeneration remains prohibited and undemonstrated.",NB001 cells 120-161 plus Stage11-14 configs and frozen artifacts,VALIDATION_ONLY,D,"Use static frozen evidence and synthetic helpers; a future scientific rerun requires separate authorization and dependency/data recovery."
G010,Stage16-Stage18,"Safety-gated methodology is extracted but full scientific execution equivalence remains unproven.",NB001 cells 171 and 190-289 plus Stage16-18 configs and frozen artifacts,VALIDATION_ONLY,D,"Use static and toy checks only; future scientific reruns require separate authorization and exact data/runtime recovery."
G011,Stage22,"No standalone scientific notebook/script is present despite extensive frozen artifacts.",Stage22/Stage22R result roots,EXECUTABILITY,D,"Recover source mapping from protocol artifacts and other historical sources in a later approved phase."
G012,Environments,"Several exact historical package versions are unproven.",requirements.txt and stage receipts,ENVIRONMENT,VERSION_NOT_PROVEN,"Create stage-specific environment notes; retain VERSION_NOT_PROVEN for unknowns."
G013,Stage26,"Historical timing cannot be expected to reproduce across hardware.",Stage26 CPU/GPU receipts,HARDWARE_DEPENDENCE,D,"Validate formulas inventory measurement code and frozen historical tables only."
G014,Repository-wide,"Canonical text artifact SHA values assume LF while Windows checkout converts to CRLF.",Stage28 final-synthesis 0/10 worktree and 10/10 Git-blob checks,PORTABILITY,A,"Do not alter frozen artifacts; make verification explicitly blob-aware."
G015,Stage06,"Exact historical Joblib model inputs and generated SHAP matrices are absent; the native XGBoost JSON and LightGBM TXT artifacts are not proven byte-equivalent estimator substitutes.",NB001 cell 108 plus results/shap and models,ARTIFACT_COVERAGE,D,"Preserve the exact sampling ranking and comparison methodology; do not compute SHAP or claim native-model interchangeability without separate authorization and evidence."
G016,Stage07,"The complete historical working-directory archive and its full SHA256 inventory are absent; only the recorded source-archive checksum survives.",NB001 cells 110-114 and metadata/source_archive.sha256,ARCHIVAL,D,"Verify publication asset presence and render archival commands only; never reproduce the historical destructive ZIP cleanup."
G017,Stage08-Stage09,"Frozen bootstrap distributions exist but exact numerical recomputation is prohibited during this extraction.",results/statistical_confidence and results/calibration,VALIDATION_ONLY,B,"Validate methodology constants schemas shapes formulas and toy behavior without opening holdout target/probability inputs or generating 2000 replicates."
G018,Stage10,"The stage-specific software environment is not recorded and frozen holdout cost outputs may not be recomputed in this extraction.",metadata/operational_cost and NB001 cell 119,ENVIRONMENT_AND_VALIDATION,D,"Retain VERSION_NOT_PROVEN for the runtime and verify only the frozen validation-selection table plus static methodology."
G019,Stage11,"The attack-category scientific runtime versions are not preserved.",NB001 cell 120 and metadata/attack_category/attack_category_methodology.json,ENVIRONMENT,VERSION_NOT_PROVEN,"Retain VERSION_NOT_PROVEN for Python NumPy pandas SciPy and Matplotlib; verify frozen tables and toy formulas only."
G020,Stage13,"SHAP SciPy and Matplotlib versions are unproven and scientific LIME/SHAP regeneration was not performed.",NB001 cells 130-146 and metadata/lime receipts,ENVIRONMENT_AND_VALIDATION,D,"Preserve proven LIME 0.2.0.1 separately; use frozen schemas and synthetic fidelity/agreement helpers only."
G021,Stage14,"Standalone Keras scikit-learn Joblib and Matplotlib versions are unproven despite a Stage14 TensorFlow 2.19.0 receipt.",NB001 cells 147-161 and results/stage14_integrated_gradients metadata,ENVIRONMENT,D,"Keep the TensorFlow receipt stage-specific and retain VERSION_NOT_PROVEN for the other packages; do not load models or recompute IG."
G022,Stage15,"Complete locked checkpoints and runtime receipts exist but the external processed dataset is not redistributed and FT-Transformer retraining was not authorized.",results/stage15_transformer_checkpoint and DATASET.md,DATA_ACCESS_AND_VALIDATION,B,"Verify exact architecture split metadata checkpoint bytes and historical locks; a full training rerun requires separate authorization and the external dataset."
G023,Stage15,"The historical duplicate-safe holdout was evaluated exactly once and must not be reopened for extraction equivalence.",stage15_5b_preholdout_decision_lock.json and stage15_6a_holdout_execution_state.json,SCIENTIFIC_GOVERNANCE,D,"Preserve the zero-to-one opening receipt transition; never deserialize models run inference or open holdout arrays in dry-run verify-only or tests."
G024,Stage16-Stage17,"Exact stage-specific scientific runtime versions are not preserved.",Stage16-17 configs and frozen metadata,ENVIRONMENT,VERSION_NOT_PROVEN,"Retain VERSION_NOT_PROVEN for all unproved packages; do not infer versions from Stage15 Stage18 or Stage19."
G025,Stage18-Stage19,"Proven P100 runtime receipts and frozen checkpoints exist but graph and temporal scientific reruns were prohibited.",Stage18-19 configs and result roots,VALIDATION_ONLY,B,"Verify static methodology toy helpers and artifact bytes only."
G026,Stage20,"Raw CICIDS2017 PCAPs and exact compact-corpus component files are external to the repository checkout.",Stage20 source receipts and 1E1 manifests,DATA_ACCESS_AND_ARTIFACT_COVERAGE,D,"Preserve source/component SHA256 values and manifests; do not download parse or regenerate data during extraction."
G027,Stage20-C16,"The transition manifest's scientific state was recovered but the historical artifact bytes were not.",stage20_1c16a_manifest_recovery_status.json,ARCHIVAL,B,"Retain both the lost expected SHA256 and current recovered artifact identity; never claim byte-exact recovery."
G028,Stage20-E4,"Seven later Colab/Xet and completed Friday artifacts have no execution cell in the accepted notebook boundary.",STAGE20_SUBSTAGE_MAP.md and Stage20 1E4 artifacts,EXECUTION_PROVENANCE,D,"Report NOTEBOOK_CELL_NOT_MAPPED and do not assign a guessed cell or merge them into the Kaggle cells 455-461."
G029,Stage20,"Historical Java jNetPcap and early Python forensic runtime versions are not fully proven.",Stage20 C1-C16 notebook cells and C8/C16 receipts,ENVIRONMENT,VERSION_NOT_PROVEN,"Keep early forensics separate from the proven Scapy 2.6.1 corpus decoder and isolated PyTorch CNN runtimes."
G030,Stage21,"The complete historical program spans two executed notebooks and several result-tree workers rather than one self-contained source.",NB001 cells 462-488; NB007 cells 2-85; Stage21 source registry,EXECUTION_PROVENANCE,B,"Preserve NOTEBOOK_PLUS_SCRIPT chronology and exact embedded-worker containment; do not rewrite it into a competing monolith."
G031,Stage22,"No standalone historical Stage22/Stage22R scientific Python script is preserved despite complete notebook and frozen-result evidence.",NB007 cells 86-139 and Stage22/Stage22R result roots,EXECUTABILITY,B,"Use NOTEBOOK_CANONICAL static consolidation and byte verification; a future scientific rerun would require separately authorized reconstruction."
G032,Stage22,"Stage22R receipts prove package/backend versions but do not prove Python version or GPU model.",Stage22R protocol and result receipts,ENVIRONMENT,VERSION_NOT_PROVEN,"Record Python and GPU model as VERSION_NOT_PROVEN; do not inherit Stage20 or Stage23 runtime."
G033,Stage23,"Python version and GPU model are not proven even though package versions and CPU/CUDA backends are recorded.",Stage23 result receipts and final closure,ENVIRONMENT,VERSION_NOT_PROVEN,"Keep Python and GPU model unproven and do not regenerate models bootstrap cohorts or SHAP values."
G034,Stage24,"The exact durable GROUNDED_S4 membership could not be recovered under the prospectively frozen no-approximation rule.",stage24_1c_ex1_grounded_s4_durable_artifact_infeasibility_amendment.json,ARTIFACT_AVAILABILITY,D,"Retain both cells as administratively CANCELLED before opening; never infer values use a fuzzy substitute or reallocate slots."
