table_candidate,stage,scientific_question,source_artifact,native_metric,evidence_status,main_or_supplement,recommended_action,supporting_claim_ids,reason
"T29-01_REFERENCE_BENCHMARK","Stage01-Stage12","What did conventional benchmark evaluation establish?","docs/RESULTS_SUMMARY.md","F1;F2;FPR;ROC-AUC;PR-AUC;Brier","PRIMARY_WITH_HISTORICAL_CONTEXT","MAIN","MAIN","CLM29-001;CLM29-002;CLM29-003","One compact table should replace numerous baseline threshold and learner-specific exhibits."
"T29-02_VALIDITY_AXIS_MATRIX","Stage01-Stage28","Which conclusions survived each validity axis?","results/stage29_manuscript_synthesis/evidence/validity_axis_matrix.csv","native metric per axis; no shared score","SYNTHESIS_ONLY","MAIN","MAIN","CLM29-001;CLM29-008;CLM29-010;CLM29-011;CLM29-013;CLM29-014;CLM29-015","Central framework table; preserves non-commensurable metrics."
"T29-03_TEMPORAL_FIVE_SEED","Stage28","Was the random/chronological direction stable?","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_stage22_shared_holdout_five_seed_summary.csv","PR-AUC;ROC-AUC;mean;SD;5/5 ordering","PRIMARY","MAIN","MAIN","CLM29-008;CLM29-009","Final empirical closure supersedes single-seed emphasis."
"T29-04_BIDIRECTIONAL_TRANSFER","Stage24","How asymmetric was cross-dataset transfer?","results/stage24_cross_dataset/stage24_publication_package/tables/table24_1_bidirectional_generalization.csv","direction-specific PR-AUC;ROC-AUC","PRIMARY","MAIN","MAIN","CLM29-011","Keeps transfer directions populations and native metrics visible."
"T29-05_OPERATIONAL_TRANSLATION","Stage25","How did 0.1% prevalence affect PPV workload and yield?","results/stage25_prevalence_stress/stage25_publication_package/tables/table25_1_standard_operational_translation_0p1pct.csv","PPV;alerts/day;analyst-hours/day","CONDITIONAL","MAIN","MAIN","CLM29-013","High-information operational table with assumptions stated adjacent."
"T29-06_LOAO_STABILITY","Stage28","Which eligible family/learner findings survived seeds?","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_loao_stability_registry.csv","family stability status;support;native ranking/recall criteria","PRIMARY_WITH_LOW_SUPPORT_ROWS","MAIN","MAIN","CLM29-015;CLM29-016","Final family-specific stability evidence; Infiltration must remain descriptive."
"T29-S01_SPLIT_MEMBERSHIP","Stage01","What are the reference split counts?","docs/RESULTS_SUMMARY.md","rows and class counts","HISTORICAL_CONTEXT","SUPPLEMENT","SUPPLEMENT","CLM29-001","Methodological detail."
"T29-S02_UNCERTAINTY","Stage08","Which learner differences were resolved?","docs/STATISTICAL_CONFIDENCE.md","paired metric differences and intervals","NEGATIVE_AND_CONDITIONAL","SUPPLEMENT","SUPPLEMENT","CLM29-002","Preserves full uncertainty without crowding the reference table."
"T29-S03_CALIBRATION","Stage09","How were frozen probabilities calibrated?","docs/CALIBRATION_ASSESSMENT.md","Brier;log loss;ECE","NEGATIVE_RESULT","SUPPLEMENT","SUPPLEMENT","CLM29-003","No resolved winner; useful audit detail."
"T29-S04_ATTACK_SUPPORT","Stage11","Which known categories have fragile support?","docs/ATTACK_CATEGORY_ANALYSIS.md","support and detection rate","LOW_SUPPORT","SUPPLEMENT","SUPPLEMENT","CLM29-001","Supports the progression from known-category to LOAO analysis."
