evidence_id,evidence_status,claim_ceiling,classification_rationale,mandatory_qualifier
"E29-001","HISTORICAL_CONTEXT","SUPPORTED_WITHIN_SCOPE","Defines the early processed-data reference condition","early processed reference condition"
"E29-002","HISTORICAL_CONTEXT","DESCRIPTIVE","Explains model-selection chronology without rerunning baselines","historical baseline inventory"
"E29-003","HISTORICAL_CONTEXT","DESCRIPTIVE","Small frozen validation change precedes later tests","within frozen validation"
"E29-004","HISTORICAL_CONTEXT","SUPPORTED_WITHIN_SCOPE","Frozen validation operating point","validation-selected"
"E29-005","HISTORICAL_CONTEXT","SUPPORTED_WITHIN_SCOPE","Frozen constrained operating point","under the reference validation constraint"
"E29-006","PRIMARY","DIRECTLY_DEMONSTRATED","Core conventional benchmark result","on the processed IDS2018 holdout"
"E29-007","SUPPORTING","SUPPORTED_WITHIN_SCOPE","Reference operating-point trade-off","on the processed IDS2018 holdout"
"E29-008","DESCRIPTIVE","DESCRIPTIVE","Global attribution agreement is non-causal","descriptively"
"E29-009","NEGATIVE_RESULT","DIRECTLY_DEMONSTRATED","Balanced learner difference remained unresolved","on the frozen holdout"
"E29-010","CONDITIONAL","SUPPORTED_WITHIN_SCOPE","Historical conditional paired interval favors one security point","conditional on the frozen sample and bootstrap"
"E29-011","NEGATIVE_RESULT","DIRECTLY_DEMONSTRATED","No calibration winner was resolved","on the frozen holdout"
"E29-012","CONDITIONAL","SUPPORTED_WITHIN_SCOPE","Cost break-even depends on assumed relative costs","under the frozen relative-cost model"
"E29-013","LOW_SUPPORT","DESCRIPTIVE","Rare categories cannot support strong category claims","category support varies; rare categories are fragile"
"E29-014","SENSITIVITY","SUPPORTED_WITHIN_SCOPE","Fixed-seed winner frequencies test realization sensitivity","across five fixed seeds without repeated HPO"
"E29-015","NEGATIVE_RESULT","SUPPORTED_WITHIN_SCOPE","Stable LIME explanations often lacked fidelity","in the deterministic 64-case panel"
"E29-016","PARTIAL","SUPPORTED_WITHIN_SCOPE","Temporal provenance audit invalidated stronger temporal-window use of Stage15 split","with incomplete timestamp recovery"
"E29-017","NEGATIVE_RESULT","NOT_SUPPORTED","No candidate ViT representation passed feasibility","no Stage18 ViT performance result exists"
"E29-018","CONDITIONAL","SUPPORTED_WITHIN_SCOPE","Ranking/threshold divergence is source-restricted","on the source-restricted Feb20 graph subset"
"E29-019","DESCRIPTIVE","DESCRIPTIVE","Single frozen CNN/ViT comparison","under the frozen Stage21 conditions"
"E29-020","PRIMARY","DIRECTLY_DEMONSTRATED","Shared forward holdout comparison is central temporal evidence","under the frozen Stage22 protocol"
"E29-021","NEGATIVE_RESULT","DIRECTLY_DEMONSTRATED","Frozen thresholds failed to transfer despite ranking differences","without post-holdout adaptation"
"E29-022","SENSITIVITY","SUPPORTED_WITHIN_SCOPE","Subset effects varied by split and learner","under the seven frozen feature subsets"
"E29-023","PARTIAL","HYPOTHESIS_GENERATING","Controls constrain but do not identify a causal shortcut mechanism","causal mechanism remains unresolved"
"E29-024","PRIMARY","DIRECTLY_DEMONSTRATED","Forward bridge transfer retained ranking signal","for the frozen 62-feature bridge"
"E29-025","NEGATIVE_RESULT","DIRECTLY_DEMONSTRATED","Reverse direction was weak and must remain separate","for the frozen reverse bridge"
"E29-026","CONDITIONAL","SUPPORTED_WITHIN_SCOPE","Conditional paired intervals quantify serialization sensitivity","conditional on the frozen bootstrap protocol"
"E29-027","CANCELLED","NOT_SUPPORTED","Two cells were cancelled before target opening","cancelled; no result exists"
"E29-028","CONDITIONAL","SUPPORTED_WITHIN_SCOPE","Prior-shift workload projection is assumption-bound","under the frozen 0.1% prior-shift and time assumptions"
"E29-029","CONDITIONAL","SUPPORTED_WITHIN_SCOPE","Capacity and utility separate under the frozen projection","under the frozen 0.1% prior-shift assumption"
"E29-030","CONDITIONAL","SUPPORTED_WITHIN_SCOPE","Direction-specific PPV projections rely on invariant rates","under the frozen prior-shift assumption"
"E29-031","SENSITIVITY","SUPPORTED_WITHIN_SCOPE","Frozen cost preference changes across prevalence scenarios","under the 1:100 relative-cost scenario"
"E29-032","HARDWARE_SPECIFIC","SUPPORTED_WITHIN_SCOPE","Measured deployment profiles are environment-bound","on the measured Stage26 hardware/software"
"E29-033","PARTIAL","NOT_SUPPORTED","Unsupported backends have no performance evidence","unsupported paths remain unevaluated"
"E29-034","PRIMARY","SUPPORTED_WITHIN_SCOPE","Eligible LOAO families show selective transfer","for eligible families under the frozen LOAO protocol"
"E29-035","LOW_SUPPORT","DESCRIPTIVE","Infiltration has only 36 positives and two families were ineligible","Infiltration is descriptive only"
"E29-036","CONDITIONAL","SUPPORTED_WITHIN_SCOPE","Native metrics diverge and cannot be collapsed","ranking and threshold metrics are reported separately"
"E29-037","PRIMARY","DIRECTLY_DEMONSTRATED","Five-seed Stage22 linkage is the final stability evidence","across the five frozen Stage28 seeds"
"E29-038","SUPPORTING","DESCRIPTIVE","Five-of-five ordering is descriptive rather than inferential","descriptive 5/5 ordering"
"E29-039","PRIMARY","SUPPORTED_WITHIN_SCOPE","Stage27 family patterns were stress-tested across realizations","for eligible families and two learners"
"E29-040","NEGATIVE_RESULT","SUPPORTED_WITHIN_SCOPE","Controls did not isolate one causal mechanism","controls were mixed and family-specific"
"E29-041","SUPPORTING","DIRECTLY_DEMONSTRATED","Execution receipt closes the empirical plan","completion does not expand inferential scope"
